BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,InitialApprovalAmount,LoanStatus,DateApproved,LoanNumber,NAICSCode,ServicingLenderName,OriginatingLender
"J.E. DUPUY FLOORING AND ACOUSTICAL, INC.",108 Melvyn Dr,Monroe,LA,391842.5,Paid in Full,01/16/2021,1044288305,238330,Century Next Bank,Century Next Bank
"J.E. DUPUY FLOORING AND ACOUSTICAL, INC.",108 MELVYN DRIVE,MONROE,LA,391842.5,Paid in Full,04/09/2020,9257097006,238330,Century Next Bank,Century Next Bank
"G & R ELEVATOR MANUFACTURING, INC.",2352 STATION PKWY NW,ANDOVER,MN,390900.0,Paid in Full,04/09/2020,9898977010,238990,21st Century Bank,21st Century Bank
"PAUL'S TOOLS, INC.",5614 E. Powhattan Avenue,TAMPA,FL,389320.0,Paid in Full,04/06/2020,5705497004,454390,Century Bank of Florida,Century Bank of Florida
BENSON-ORTH ASSOCIATES INC.,1000 Boone Ave N Ste 100,Minneapolis,MN,387900.0,Paid in Full,03/13/2021,1434078601,236220,21st Century Bank,21st Century Bank
"ANDOVER ANIMAL HOSPITAL, P.A.",1730 139TH LN NW,ANDOVER,MN,386300.0,Paid in Full,04/04/2020,4688757002,541940,21st Century Bank,21st Century Bank
"PRESIDENTE SUPERMARKET NO. 43, INC.",1035 NW 9 Avenue,FORT LAUDERDALE,FL,384145.52,Paid in Full,04/15/2020,1045607202,445110,U.S. Century Bank,U.S. Century Bank
EMA HOLDINGS LLC,1151 McKinley St,Anoka,MN,384000.0,Paid in Full,02/09/2021,5997528400,332710,21st Century Bank,21st Century Bank
INSURANCE PARTNERS LLC,13631 BISCAYNE BLVD,NORTH MIAMI BEACH,FL,382615.17,Paid in Full,04/14/2020,7406437105,524210,U.S. Century Bank,U.S. Century Bank
"BAILUN ACQUISITIONS, INC.",20851 COMMERCE BLVD,ROGERS,MN,381400.0,Paid in Full,04/06/2020,6252847003,333999,21st Century Bank,21st Century Bank
GREAT LIVIN' LLC,2901 JUAN TABO BLVD Suite 208,ALBUQUERQUE,NM,378654.25,Paid in Full,04/15/2020,8853327103,621610,Century Bank,Century Bank
DEVORE AVIATION CORPORATION OF AMERICA,6104B Jefferson St NE,Albuquerque,NM,377815.0,Paid in Full,05/07/2021,7821648908,336413,Century Bank,Century Bank
SOUTHWESTERN COLLEGE,3960 SAN FELIPE RD,SANTA FE,NM,377092.0,Paid in Full,04/29/2020,2782057306,611310,Century Bank,Century Bank
SOUTHWESTERN COLLEGE,3960 San Felipe Rd,Santa Fe,NM,377092.0,Paid in Full,02/17/2021,9755588402,611310,Century Bank,Century Bank
CHILD AND TEEN MEDICAL CENTER P.A.,11107 Ulysses St NE Ste 100,Minneapolis,MN,376700.0,Paid in Full,01/20/2021,2341778300,621111,21st Century Bank,21st Century Bank
94TH. SPIRIT GRILL 'LLC',1395 NW 57th Ave,Miami,FL,374857.0,Paid in Full,02/22/2021,2907818506,722511,U.S. Century Bank,U.S. Century Bank
"LAWRENCE CUMPSTON & ASSOCIATES, PLLP",60 PLATO BLVD E,SAINT PAUL,MN,372200.0,Paid in Full,04/08/2020,8689287003,541211,21st Century Bank,21st Century Bank
JOHN KEELER & CO INC.,3000 NW 109th Ave,Doral,FL,371944.3,Paid in Full,02/26/2021,4710798508,424460,U.S. Century Bank,U.S. Century Bank
VISTA TECHNOLOGIES LLC,1850 Greeley St S,Stillwater,MN,371600.0,Paid in Full,01/21/2021,2687998304,333511,21st Century Bank,21st Century Bank
LED ARE US LLC,9840 NW 77th Ave,Miami Lakes,FL,370870.47,Paid in Full,02/06/2021,4416948406,453998,U.S. Century Bank,U.S. Century Bank
PIERRE FREY INC.,807 Dorsey Street,GAINESVILLE,GA,370460.45,Paid in Full,05/01/2020,9030897310,314999,First Century Bank National Association,First Century Bank National Association
"CROWN PLASTICS, INC.",12615   16TH AVE NORTH,MINNEAPOLIS,MN,369100.0,Paid in Full,04/05/2020,5332917006,423840,21st Century Bank,21st Century Bank
KREPS DE MARIA INC,220 Alhambra Circle #310,CORAL GABLES,FL,368435.0,Paid in Full,04/11/2020,3580077101,541820,U.S. Century Bank,U.S. Century Bank
"PRESIDENTE SUPERMARKET NO. 29, INC.",14778 SW 56TH ST,MIAMI,FL,367170.0,Paid in Full,04/27/2020,5216947203,445110,U.S. Century Bank,U.S. Century Bank
GEORGE REGIONAL HEALTH & REHAB,859 Winter St,LUCEDALE,MS,366947.0,Paid in Full,04/10/2020,2594147105,622310,Century Bank,Century Bank
"VILLAGE TRANSMISSION CENTER, INC.",2760 FAIRVIEW AVE N,SAINT PAUL,MN,366900.0,Paid in Full,04/08/2020,8071777006,811113,21st Century Bank,21st Century Bank
TOMASITA'S ABQ LLC,4949 PAN AMERICAN FWY,ALBUQUERQUE,NM,366087.0,Paid in Full,04/07/2020,7312347003,722511,Century Bank,Century Bank
"A J & J THORNTON OIL, INC.",229 Old Highway 84,Tullos,LA,365727.0,Paid in Full,01/16/2021,1053638305,211120,Century Next Bank,Century Next Bank
"SOUTHERN NEW JERSEY STEEL COMPANY, INC.",2591 N EAST BLVD,VINELAND,NJ,365500.0,Paid in Full,04/05/2020,5253137010,238120,Century Savings Bank,Century Savings Bank
"SOUTHERN NEW JERSEY STEEL COMPANY, INC.",2591 N East Blvd,Vineland,NJ,365500.0,Paid in Full,01/16/2021,1057558302,238120,Century Savings Bank,Century Savings Bank
"JICI, INC.",319 Pokagon Trl,Angola,IN,364575.0,Paid in Full,01/16/2021,1264818300,236220,Century Bank and Trust,Century Bank and Trust
"JICI, INC.",319 POKAGON TRL,ANGOLA,IN,364500.0,Paid in Full,04/04/2020,4805227007,236210,Century Bank and Trust,Century Bank and Trust
DICK RUSSELL'S INC,5360 Hwy 90 West,MOBILE,AL,363188.92,Paid in Full,04/08/2020,8688587008,722511,Century Bank,Century Bank
"GLOBAL LIFE TECHNOLOGIES, CORP.",300 ARAGON AVE Suite 214,CORAL GABLES,FL,361320.0,Paid in Full,04/27/2020,4516657207,339113,U.S. Century Bank,U.S. Century Bank
GUNDREY ENTERPRISES LLC,193 Paseo de Peralta,Santa Fe,NM,360416.0,Paid in Full,01/22/2021,3485758309,722511,Century Bank,Century Bank
"OVERTOWN YOUTH CENTER, INC.",450 NW 14TH ST,MIAMI,FL,360000.0,Paid in Full,04/27/2020,5265707208,624110,U.S. Century Bank,U.S. Century Bank
FORT DEFIANCE HOUSING CORPORATION,8500 MENAUL BLVD. NE STE. A420,ALBUQUERQUE,NM,358992.0,Paid in Full,04/13/2020,4628097101,531110,Century Bank,Century Bank
"LA SIERRA CONCESSIONS, LLC",6007 GARFIELD ST,HOLLYWOOD,FL,358725.3,Paid in Full,04/12/2020,3713127108,722511,U.S. Century Bank,U.S. Century Bank
"PERRY PERSONNEL PLUS, INC.",111 Broadus St. PO BOX 7097,STURGIS,MI,358200.0,Paid in Full,04/04/2020,4959177008,561320,Century Bank and Trust,Century Bank and Trust
PERRY PERSONNEL PLUS INC.,111 Broadus St,Sturgis,MI,358200.0,Paid in Full,01/22/2021,3441318304,561320,Century Bank and Trust,Century Bank and Trust
DIVERSIFIED VENTURS OF WORTHINGTON LLC,1290 Ryans Rd,Worthington,MN,358100.0,Paid in Full,04/09/2021,9716368708,722511,21st Century Bank,21st Century Bank
VINELAND ORAL & MAXILLO-FACIAL SURGEONS P.A.,1318 S Main Rd Ste 4B,Vineland,NJ,357805.0,Paid in Full,01/21/2021,3033848300,621111,Century Savings Bank,Century Savings Bank
DOCTORS SCIENTIFIC ORGANICA LLC,1210 W 13th St,Riviera Beach,FL,356438.72,Paid in Full,02/10/2021,6186698406,311812,U.S. Century Bank,U.S. Century Bank
SHIELD PATTERN WORKS INC.,1740 99th Ln NE,Minneapolis,MN,356400.0,Paid in Full,04/13/2021,2811228806,333511,21st Century Bank,21st Century Bank
DENMON ENGINEERING CO INC,114 Venable Ln,Monroe,LA,355347.5,Paid in Full,04/15/2020,9135697109,541330,Century Next Bank,Century Next Bank
BEN'S PROFESSIONAL SERVICES LLC,3109 N Mill Rd,Vineland,NJ,355270.0,Paid in Full,02/02/2021,1499498403,238220,Century Savings Bank,Century Savings Bank
BEN'S PROFESSIONAL SERVICES LLC,3109 N. Mill Road,VINELAND,NJ,355200.0,Paid in Full,04/04/2020,4839827008,238220,Century Savings Bank,Century Savings Bank
"ARANGO BILLBOARD & CONSTRUCTION CO., LLC",7935 NW  60TH ST,MIAMI,FL,355193.05,Paid in Full,04/12/2020,3805327106,561730,U.S. Century Bank,U.S. Century Bank
LOCAL RADIO NETWORKS LLC,330 INTERTECH PKWY,ANGOLA,IN,355100.0,Paid in Full,04/04/2020,4712967007,515112,Century Bank and Trust,Century Bank and Trust
"MAMACITA, INC.",2851 INDUSTRIAL WAY,VINELAND,NJ,355000.0,Paid in Full,04/05/2020,5237587005,311412,Century Savings Bank,Century Savings Bank
"SKY COMMUNICATIONS, INC.",807 Dorsey Street,GAINESVILLE,GA,354888.3,Paid in Full,04/29/2020,3213017310,541618,First Century Bank National Association,First Century Bank National Association
CARMEN'S CORP.,6015 Garfield St,Hollywood,FL,354736.34,Paid in Full,03/25/2021,9060638604,722511,U.S. Century Bank,U.S. Century Bank
"CUDDY & MCCARTHY, LLP",1701 Old Pecos Trail,SANTA FE,NM,354693.75,Paid in Full,04/28/2020,1639507302,541110,Century Bank,Century Bank
ASHLEY-CHICOT ELECTRIC COOPERATIVE INC,307 E Jefferson St,Hamburg,AR,353709.1,Paid in Full,02/01/2021,1416568406,221122,Century Next Bank,Century Next Bank
SURFSIDE ANGELS LLC,4014 Chase Ave Ste 212,Miami Beach,FL,353430.25,Paid in Full,01/27/2021,6605858303,541614,U.S. Century Bank,U.S. Century Bank
"CHIEF'S TOWING, INC.",8610 HARRIET AVE S,Bloomington,MN,353300.0,Paid in Full,04/09/2020,1030797101,488410,21st Century Bank,21st Century Bank
"DOCTORS SCIENTIFIC ORGANICA, LLC",1210 W 13 STREET,RIVIERA BEACH,FL,352750.47,Paid in Full,04/13/2020,4717767103,311999,U.S. Century Bank,U.S. Century Bank
LAS BRAZAS ENTERPRISES INC,603 SANTA CRUZ RD,ESPANOLA,NM,352277.0,Paid in Full,04/15/2020,9103057100,722513,Century Bank,Century Bank
"PRESIDENTE SUPERMARKET NO. 17, INC",8370 NW 27TH AVE,MIAMI,FL,352000.0,Paid in Full,04/27/2020,5325887208,445110,U.S. Century Bank,U.S. Century Bank
CHAMPION TRUSS INC,400 PROSPERITY AVE SE,ALBUQUERQUE,NM,351303.6,Paid in Full,04/15/2020,9336087110,321214,Century Bank,Century Bank
CHAMPION TRUSS INC,400 Prosperity Ave SE,Albuquerque,NM,351302.0,Paid in Full,03/13/2021,1795258602,321214,Century Bank,Century Bank
"BGD COMPANIES, INC",5323 Lakeland Ave N,Minneapolis,MN,351000.0,Paid in Full,01/16/2021,1272498300,337127,21st Century Bank,21st Century Bank
THUNDER SCIENTIFIC CORPORATION,623 Wyoming Blvd SE,Albuquerque,NM,350912.0,Paid in Full,01/27/2021,6513358309,334513,Century Bank,Century Bank
MANZANA CENTER INCORPORATED,CR 103 BUILDING #1,CHIMAYO,NM,350000.0,Paid in Full,02/09/2021,5890068404,722511,Century Bank,Century Bank
LENSIC PERFORMING ARTS CENTER CORPORATION,211 SAN FRANCISCO ST,SANTA FE,NM,349520.0,Paid in Full,04/08/2020,8294087008,711190,Century Bank,Century Bank
TOM WILLIS ENTERPRISES INC.,9800 Montgomery Blvd NE,Albuquerque,NM,348904.5,Paid in Full,01/23/2021,4895248306,722511,Century Bank,Century Bank
SUN CITY PLUMBING & HEATING INC,560 N 17TH ST,LAS CRUCES,NM,348468.87,Paid in Full,04/09/2020,9963347006,238220,Century Bank,Century Bank
OMANN BROTHERS PAVING INC.,6551 LABEAUX AVE,ALBERTVILLE,MN,347400.0,Paid in Full,04/09/2020,9582837007,237310,21st Century Bank,21st Century Bank
RENTAL COUNTRY INC.,1044 W. LANDIS AVE,VINELAND,NJ,347100.0,Paid in Full,04/04/2020,4857747001,532310,Century Savings Bank,Century Savings Bank
CORONADO WRECKING & SALVAGE CO. INC.,4200 Broadway Blvd SE,Albuquerque,NM,346702.0,Paid in Full,02/12/2021,7821468401,238910,Century Bank,Century Bank
"MCCARTHY AUTO WORLD, LLC",3350  129TH AVE NW,MINNEAPOLIS,MN,346150.0,Paid in Full,04/05/2020,5347447010,441110,21st Century Bank,21st Century Bank
BIAD CHILI LTD CO,2240A PEPPER RD,LAS CRUCES,NM,346027.65,Paid in Full,04/09/2020,9535077001,311423,Century Bank,Century Bank
NEW APOLLO CORPORATION,450 MAIN ST,SOMERSET,WI,345500.0,Paid in Full,04/07/2020,7482237008,326191,21st Century Bank,21st Century Bank
DAISY LAY LLC,2571 CRISTOS RD,SANTA FE,NM,344861.11,Paid in Full,04/28/2020,7232157201,722511,Century Bank,Century Bank
"JOHN KEELER & CO., INC.",3000 NW 109TH AVE,DORAL,FL,344763.25,Paid in Full,04/12/2020,3911537103,424420,U.S. Century Bank,U.S. Century Bank
FORT DALLAS TRUSS COMPANY LLC,7035 SW 44 St,MIAMI,FL,344000.0,Paid in Full,04/13/2020,4712497106,321214,U.S. Century Bank,U.S. Century Bank
ARANGO BILLBOARD & CONSTRUCTION CO LLC,7935 NW 60th St,Miami,FL,342911.95,Paid in Full,02/27/2021,5149858500,236220,U.S. Century Bank,U.S. Century Bank
"ASPEN MILLS,INC.",8201 C CENTRAL AVE NE,Spring Lake Park,MN,342500.0,Paid in Full,04/08/2020,7916017010,448190,21st Century Bank,21st Century Bank
C. IAVARONE INC.,3617 W Humphrey St,Tampa,FL,342166.61,Paid in Full,01/20/2021,2187798307,722511,Century Bank of Florida,Century Bank of Florida
"BGD COMPANIES, INC",5323 LAKELAND AVE N,MINNEAPOLIS,MN,341600.0,Paid in Full,04/05/2020,5395397002,337127,21st Century Bank,21st Century Bank
"AK MATERIAL HANDLING SYSTEMS, INC.",8630 MONTICELLO LN N,MAPLE GROVE,MN,341000.0,Paid in Full,04/04/2020,4658507007,423390,21st Century Bank,21st Century Bank
NORDIC INSULATION INC,1550 93RD LN NE,MINNEAPOLIS,MN,340700.0,Paid in Full,04/06/2020,5995087007,238310,21st Century Bank,21st Century Bank
TRIPLE H DRILLING INC,303 McMillan Rd Suite 303,West Monroe,LA,340372.5,Paid in Full,04/09/2020,9704347001,213111,Century Next Bank,Century Next Bank
CONTRACTORS SURVEY CORPORATION,"1460 NW 107TH AVE, STE M",SWEETWATER,FL,338824.82,Paid in Full,04/13/2020,5131177100,541370,U.S. Century Bank,U.S. Century Bank
"ROCKY MOUNTAIN STONE CO., INC.",4741 Pan American Frwy,ALBUQUERQUE,NM,338100.65,Paid in Full,04/29/2020,2193947304,423320,Century Bank,Century Bank
NATIONAL MAIL MARKETING CORPORATION,390 Reed Rd Fl 3,Broomall,PA,337701.56,Paid in Full,03/24/2021,7975748601,541860,First Century Bank National Association,First Century Bank National Association
DUNWOODY VILLAGE INFANTS INC.,5493 Chamblee Dunwoody Rd,Atlanta,GA,336832.05,Paid in Full,01/31/2021,9680928304,624410,First Century Bank National Association,First Century Bank National Association
NATIONAL MAIL/MARKETING CORPORATION,807 Dorsey Street,GAINESVILLE,GA,336413.4,Paid in Full,04/09/2020,1029857109,541860,First Century Bank National Association,First Century Bank National Association
"MARCUS GLOBAL, INC",4255 PHEASANT RIDGE DR STE 401,MINNEAPOLIS,MN,335600.0,Paid in Full,04/09/2020,9684717007,238990,21st Century Bank,21st Century Bank
"DUNWOODY VILLAGE INFANTS, INC.",807 Dorsey Street,GAINESVILLE,GA,333234.15,Paid in Full,04/08/2020,8039237008,624410,First Century Bank National Association,First Century Bank National Association
PEACOCK LAW P.C.,201 3RD ST NW Suite 1340,ALBUQUERQUE,NM,332484.02,Paid in Full,04/12/2020,3866847102,541110,Century Bank,Century Bank
"C. IAVARONE, INC.",3617 W. Humphrey Street,TAMPA,FL,332202.5,Paid in Full,04/27/2020,4721087201,722511,Century Bank of Florida,Century Bank of Florida
"SOUTHWESTERN TITLE & ESCROW, INC.",236 MONTEZUMA AVE,SANTA FE,NM,331965.0,Paid in Full,04/11/2020,3403937109,531390,Century Bank,Century Bank
ROCK GAP ENGINEERING LLC,6759 ACADEMY RD,ALBUQUERQUE,NM,331452.5,Paid in Full,04/15/2020,8726507106,541330,Century Bank,Century Bank
ROCK GAP ENGINEERING LLC,6759 Academy Rd NE,Albuquerque,NM,331452.0,Paid in Full,01/30/2021,9002918302,541330,Century Bank,Century Bank
GALLAGHER PROPERTY & CASUALTY LLC,18001 OLD CUTLER RD,PALMETTO BAY,FL,330145.0,Paid in Full,04/14/2020,5755957107,524210,U.S. Century Bank,U.S. Century Bank
"HIMES ELECTRIC COMPANY, INC.",1040 Land O' Lakes Blvd,LUTZ,FL,330000.0,Paid in Full,04/28/2020,7293367209,238210,Century Bank of Florida,Century Bank of Florida
ROAD RUNNER STRIPING TECHNOLOGIES INC.,9804 NW 80th Ave,Miami Lakes,FL,328880.0,Paid in Full,05/27/2021,8539399009,237310,U.S. Century Bank,U.S. Century Bank
MOTIVATE HOME SERVICES LLC,2257 LOUISIANA AVE S,MINNEAPOLIS,MN,328300.0,Paid in Full,04/28/2020,7524107210,621610,21st Century Bank,21st Century Bank
BATES DALLIS AND ASSOCIATES LLC,201 N Bevill St,Winnfield,LA,328170.0,Paid in Full,01/20/2021,2382548308,541690,Century Next Bank,Century Next Bank
MUSEUM OF NEW MEXICO FOUNDATION,116 Lincoln Ave,Santa Fe,NM,327167.0,Paid in Full,03/26/2021,9842568601,712110,Century Bank,Century Bank
CHABAD OF CALIFORNIA,741 Gayley Avenue,LOS ANGELES,CA,326661.25,Paid in Full,04/30/2020,6224957309,813110,U.S. Century Bank,U.S. Century Bank
RIVERDALE KIDDS PEDIATRIC DENTISTRY PLLC,3585 124th Ave NW Ste 400,Coon Rapids,MN,326300.0,Paid in Full,04/26/2021,1589418906,621210,21st Century Bank,21st Century Bank
RIVERDALE KIDDS PEDIATRIC DENTISTRY PLLC,3585 124TH AVE NW STE 400,COON RAPIDS,MN,326200.0,Paid in Full,04/09/2020,9503957000,621210,21st Century Bank,21st Century Bank
"NMR, LLC","120 S State Street, Suite #100",CHICAGO,IL,326042.52,Paid in Full,04/09/2020,9376117002,722513,Century Bank,Century Bank
SEMOLA ENTERPRISES LLC,3 Haines Ave,Berlin,NJ,325000.0,Paid in Full,03/12/2021,9708808502,485410,Century Savings Bank,Century Savings Bank
"OMNI MEDICAL CENTER, PLLC",935 WAYZATA BLVD E Ste 200,WAYZATA,MN,325000.0,Paid in Full,04/30/2020,7554587302,621498,21st Century Bank,21st Century Bank
"AMICIS SOLUTIONS, INC.",807 Dorsey Street,GAINESVILLE,GA,323642.82,Paid in Full,04/07/2020,7472307001,541519,First Century Bank National Association,First Century Bank National Association
CHIEF'S TOWING INC.,8610 Harriet Ave S,Bloomington,MN,323200.0,Paid in Full,01/21/2021,3155948304,488410,21st Century Bank,21st Century Bank
ROCKY MOUNTAIN BUSINESS SYSTEMS INC,11 Plaza La Prensa Unit 7,SANTA FE,NM,323008.6,Paid in Full,04/28/2020,6449657205,453998,Century Bank,Century Bank
JOMARA SEAFOOD INC,2275 W 9th Ave,Hialeah,FL,321652.5,Paid in Full,01/29/2021,8024318306,424460,U.S. Century Bank,U.S. Century Bank
"JOMARA SEAFOOD, INC.",2275 West 9th Avenue,HIALEAH,FL,321652.5,Paid in Full,04/11/2020,3455707101,424420,U.S. Century Bank,U.S. Century Bank
S & F CONSTRUCTION INC,402 ST PETER RD,CHOUDRANT,LA,321557.5,Paid in Full,04/13/2020,4878657106,237120,Century Next Bank,Century Next Bank
"PRESIDENTE SUPERMARKET NO. 32, INC.",1600 NE 79TH STREET CSWY,NORTH BAY VILLAGE,FL,320097.7,Paid in Full,04/15/2020,1211767200,445110,U.S. Century Bank,U.S. Century Bank
"TROPICAL TOUCH GARDENS CENTER, INC.",6951 SW 185TH WAY,SOUTHWEST RANCHES,FL,320000.0,Paid in Full,04/27/2020,4173247210,444220,U.S. Century Bank,U.S. Century Bank
WAPSI FLY INC,27 CR 458,MOUNTAIN HOME,AR,319600.0,Paid in Full,04/06/2020,5790967007,339920,Century Bank of the Ozarks,Century Bank of the Ozarks
"COLDWATER SINTERED METAL PRODUCTS, INC",300 RACE ST,COLDWATER,MI,316800.0,Paid in Full,04/09/2020,9657857008,423510,Century Bank and Trust,Century Bank and Trust
"ESI AUDIO, INC.",5126 W Cypress St,Tampa,FL,316630.0,Paid in Full,01/16/2021,1218318302,711190,Century Bank of Florida,Century Bank of Florida
"ESI AUDIO, INC.",5126 W. Cypress Street,TAMPA,FL,316629.0,Paid in Full,04/06/2020,5791927008,532490,Century Bank of Florida,Century Bank of Florida
ST. STEPHEN CATHOLIC SCHOOL,10424 SAINT STEPHEN CIR,RIVERVIEW,FL,316470.0,Paid in Full,06/26/2020,4930698003,611310,Century Bank of Florida,Century Bank of Florida
"PRESIDENT SUPERMARKET, INC.",1550 84TH ST,HIALEAH,FL,315877.0,Paid in Full,04/27/2020,6045707200,445110,U.S. Century Bank,U.S. Century Bank
OMANN CONTRACTING COMPANIES INC,6551 Labeaux Ave NE,Albertville,MN,315500.0,Paid in Full,03/26/2021,9873808604,237310,21st Century Bank,21st Century Bank
RESIDENTIAL PROPERTY MANAGEMENT INC,613 Old Santa Fe Trail,SANTA FE,NM,315270.0,Paid in Full,04/29/2020,2150967310,531311,Century Bank,Century Bank
BRONSON PLATING CO.,135 Industrial Ave,Bronson,MI,314717.0,Paid in Full,01/16/2021,1096858301,332813,Century Bank and Trust,Century Bank and Trust
BRONSON PLATING CO.,135 Industrial Ave,BRONSON,MI,314700.0,Paid in Full,04/04/2020,4683897010,332813,Century Bank and Trust,Century Bank and Trust
AMICIS SOLUTIONS INC,8000 Avalon Blvd Ste 100,Alpharetta,GA,313529.22,Paid in Full,02/10/2021,6701738400,541519,First Century Bank National Association,First Century Bank National Association
THE FOOD DEPOT,1222 A SILER RD,SANTA FE,NM,312314.0,Paid in Full,04/14/2020,7529697102,624210,Century Bank,Century Bank
BL SANTA FE LLC,112 W San Francisco St Ste 310,Santa Fe,NM,312270.0,Charged Off,01/29/2021,8361638309,721110,Century Bank,Century Bank
THE FAMILY YMCA,1450 Iris St,LOS ALAMOS,NM,311837.5,Paid in Full,04/28/2020,1496207308,813410,Century Bank,Century Bank
HUTTON BROADCASTING LLC,2502 CAMINO ENTRADA Suite C,SANTA FE,NM,310412.5,Paid in Full,04/10/2020,2512577102,515112,Century Bank,Century Bank
NEW APOLLO CORPORATION,450 Main St,Somerset,WI,309680.28,Paid in Full,01/19/2021,1617608303,326191,21st Century Bank,21st Century Bank
"ADVANCED SERVICE MANAGEMENT GROUP, INC.",817 MEANDER CT,HAMEL,MN,308300.0,Paid in Full,04/06/2020,6325377006,488510,21st Century Bank,21st Century Bank
"CATS SWEEPING, L.L.C.",PO BOX 493,SEWELL,NJ,307800.0,Paid in Full,04/04/2020,5050507003,423810,Century Savings Bank,Century Savings Bank
AROUND THE CLOCK HOME CARE INC,2257 LOUISIANA AVE,St. Louis Park,MN,306900.0,Paid in Full,04/28/2020,6513397205,621610,21st Century Bank,21st Century Bank
ONE MORE TIME LLC,2009 Eubank Blvd NE,Albuquerque,NM,306852.0,Paid in Full,01/23/2021,4446548307,722511,Century Bank,Century Bank
KINGDOM ACADEMY INC,9010 SW 157 AVE,MIAMI,FL,305384.55,Paid in Full,04/11/2020,3555737107,624410,U.S. Century Bank,U.S. Century Bank
"E & M MANUFACTURING, INC.",4099 WHITE BEAR PKWY,SAINT PAUL,MN,303700.0,Paid in Full,04/07/2020,7292907007,332322,21st Century Bank,21st Century Bank
COMPASS ACADEMY CHARTER SCHOOL A NJ NONPROFIT CORPORATION,CHESTNUT AVE,VINELAND,NJ,303600.0,Paid in Full,04/05/2020,5344267009,611110,Century Savings Bank,Century Savings Bank
"NOBLE & VRAPI, P.A.","5931 Jefferson St. NE, Ste. A",ALBUQUERQUE,NM,303386.0,Paid in Full,04/10/2020,1633677110,541110,Century Bank,Century Bank
"HOMIAK TRANSPORT, INC.",3546 N MILL RD,VINELAND,NJ,302000.0,Paid in Full,04/15/2020,1947187206,484110,Century Savings Bank,Century Savings Bank
HUTTON BROADCASTING LLC,2502 Camino Entrada Ste C,Santa Fe,NM,301642.5,Paid in Full,01/22/2021,3348938308,515112,Century Bank,Century Bank
LAKE FABRICATORS INC.,1000 N. CLAY ST,STURGIS,MI,301500.0,Paid in Full,04/06/2020,6138417010,332999,Century Bank and Trust,Century Bank and Trust
"NEXUS BREWERY, LLC",PAN AMERICAN EAST FWY,ALBUQUERQUE,NM,301142.0,Paid in Full,04/11/2020,3546037107,722513,Century Bank,Century Bank
"NEW MEXICO TRAVERTINE, INC.",4741 Pan American Freeway NE,ALBUQUERQUE,NM,300895.0,Paid in Full,04/12/2020,3935837104,327991,Century Bank,Century Bank
FORT DALLAS TRUSS COMPANY LLC.,7035 SW 44th St,Miami,FL,300626.25,Paid in Full,03/25/2021,9211888607,423330,U.S. Century Bank,U.S. Century Bank
"SUN MECHANICAL, INC.",10834 178TH CIR,ELK RIVER,MN,300500.0,Paid in Full,04/06/2020,6022577010,238220,21st Century Bank,21st Century Bank
SPICES USA INC,711 W 16th St,Hialeah,FL,300431.1,Paid in Full,02/05/2021,3452458404,424990,U.S. Century Bank,U.S. Century Bank
"RWL COMMUNICATIONS, INC.",842 Weedon Dr NE,SAINT PETERSBURG,FL,300000.0,Paid in Full,04/28/2020,8932207209,238210,Century Bank of Florida,Century Bank of Florida
AIN DAH YUNG (OUR HOME) CENTER,1089 PORTLAND AVE,SAINT PAUL,MN,299900.0,Paid in Full,04/15/2020,9461047108,624221,21st Century Bank,21st Century Bank
WILSON INDUSTRIES LLC.,16590 State Highway 5,Gainesville,MO,299900.0,Paid in Full,01/26/2021,6340758301,326121,Century Bank of the Ozarks,Century Bank of the Ozarks
FAST TRACK TRANSFER INC,11365 Xeon St NW,Minneapolis,MN,299700.0,Paid in Full,03/03/2021,6460478501,484110,21st Century Bank,21st Century Bank
FAST TRACK TRANSFER INC,11365 XEON ST NW,MINNEAPOLIS,MN,299700.0,Paid in Full,04/06/2020,5691147002,484110,21st Century Bank,21st Century Bank
RIBBONS EXPRESS INC.,1980 Old Cuthbert Rd,Cherry Hill,NJ,299000.0,Paid in Full,01/23/2021,4258038310,453210,Century Savings Bank,Century Savings Bank
"DIGREGORY BROTHERS, INC",320 CENTRAL AVE SE,ALBUQUERQUE,NM,298630.0,Paid in Full,04/14/2020,7639277106,722511,Century Bank,Century Bank
TLC SANTA FE LLC,2532 Camino Entrada,SANTA FE,NM,298484.0,Paid in Full,04/29/2020,4478327309,238220,Century Bank,Century Bank
DHF TECHNICAL PRODUCTS LLC,545 Vortex Rd NE,RIO RANCHO,NM,298465.59,Paid in Full,04/29/2020,4426687310,423510,Century Bank,Century Bank
EL FLORIDITA RESTAURANT CORP,8393 Bird Rd,Miami,FL,297108.0,Paid in Full,02/02/2021,1791668403,722511,U.S. Century Bank,U.S. Century Bank
BOY'S ELECTRIC LLC,490 Villaume Ave Ste 300,South St Paul,MN,297100.0,Paid in Full,01/21/2021,2700138310,238210,21st Century Bank,21st Century Bank
BOYS ELECTRIC LLC,490 VILLAUME AVE,SOUTH SAINT PAUL,MN,297100.0,Paid in Full,04/06/2020,6401177008,238210,21st Century Bank,21st Century Bank
ROGERS DENTAL CENTER PA,21410 136th Ave Ste 109,Rogers,MN,296700.0,Paid in Full,02/18/2021,9926168400,621210,21st Century Bank,21st Century Bank
TROPIC GARDEN INVESTMENTS INC,6925 SW 8th St,Miami,FL,296439.29,Paid in Full,03/12/2021,9712058505,721110,U.S. Century Bank,U.S. Century Bank
