BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,InitialApprovalAmount,LoanStatus,DateApproved,LoanNumber,NAICSCode,ServicingLenderName,OriginatingLender
"ACHIEVE SERVICES, INC",1201 89TH AVE,MINNEAPOLIS,MN,828900.0,Paid in Full,04/05/2020,5300007010,624310,21st Century Bank,21st Century Bank
WL BASS CONSTRUCTION INC,420 Highway 80 E,Monroe,LA,823962.0,Paid in Full,01/20/2021,2044088309,236210,Century Next Bank,Century Next Bank
PATTONS SERVICE CO INC,2569 HWY 33,RUSTON,LA,813257.0,Paid in Full,04/13/2020,4862407107,237120,Century Next Bank,Century Next Bank
DELPHI RESTAURANT SERVICES LLC,500 S Guadalupe St,Santa Fe,NM,807600.5,Paid in Full,01/22/2021,3882598302,722511,Century Bank,Century Bank
"MANUEL G. VERA & ASSOCIATES,INC.",13960 SW 47TH Street,MIAMI,FL,806376.25,Paid in Full,04/11/2020,3244597105,541370,U.S. Century Bank,U.S. Century Bank
L365 LLC,2070 RIVER REACH DR 77,NAPLES,FL,802800.0,Paid in Full,04/10/2020,1393027103,541990,21st Century Bank,21st Century Bank
L365 LLC,2070 River Reach Dr Apt 77,Naples,FL,802800.0,Paid in Full,01/16/2021,1219258310,541990,21st Century Bank,21st Century Bank
SHOEMAKER TRANSPORT SERVICES INC,3111 Sally Parker Rd,LUCEDALE,MS,797935.0,Paid in Full,04/11/2020,2857517101,484110,Century Bank,Century Bank
CROWN CLOTHING COMPANY,609 Paul St,Vineland,NJ,793982.82,Paid in Full,01/16/2021,1033398308,315280,Century Savings Bank,Century Savings Bank
CROWN CLOTHING COMPANY,609 PAUL ST,VINELAND,NJ,793900.0,Paid in Full,04/08/2020,7825567005,315280,Century Savings Bank,Century Savings Bank
ADVANCE TERRAZZO AND TILE COMPANY,425 COON RAPIDS BLVD,MINNEAPOLIS,MN,793000.0,Paid in Full,04/10/2020,2205277106,238340,21st Century Bank,21st Century Bank
"OVERDEVEST NURSERIES, L.P.",578 BOWENTOWN RD,BRIDGETON,NJ,790800.0,Paid in Full,04/16/2020,2849667209,111421,Century Savings Bank,Century Savings Bank
"RAPID SPORT CENTER, INC.",1343 ANDOVER BLVD,ANDOVER,MN,788000.0,Paid in Full,04/06/2020,6073337008,441222,21st Century Bank,21st Century Bank
ADVANCE TERRAZZO AND TILE COMPANY,425 Coon Rapids Blvd NW,Minneapolis,MN,772200.0,Paid in Full,04/13/2021,2882238806,238340,21st Century Bank,21st Century Bank
ST. MICHAEL'S COLLEGE,100 Siringo Rd,SANTA FE,NM,767907.5,Paid in Full,04/11/2020,3609297102,611110,Century Bank,Century Bank
NATIONAL DANCE INSTITUTE-NEW MEXICO INC.,1140 Alto St,Santa Fe,NM,766757.5,Paid in Full,01/23/2021,4134268307,711120,Century Bank,Century Bank
EMPIRE BUILDERS LLC,12453 N State Highway 14,Cedar Crest,NM,764850.0,Paid in Full,03/04/2021,6630008504,236220,Century Bank,Century Bank
LOUISIANA BAPTIST CHILDREN'S HOME & FAMILY MINISTRIES,7200 Desiard St,Monroe,LA,764694.5,Paid in Full,02/23/2021,3369838508,623990,Century Next Bank,Century Next Bank
STARBOARD GROUP OF TAMPA LLC,12540 West Atlantic Blvd,CORAL SPRINGS,FL,763090.0,Paid in Full,04/13/2020,5700777104,722513,U.S. Century Bank,U.S. Century Bank
CRAWFORD MERZ LLC,33 S 6TH ST Ste 4510,MINNEAPOLIS,MN,758700.0,Paid in Full,04/05/2020,5230697000,236220,21st Century Bank,21st Century Bank
"MORRIS TRANSPORTATION SERVICES, LLC",PO Box 32,Hamburg,AR,754502.5,Paid in Full,04/09/2020,9727897005,488490,Century Next Bank,Century Next Bank
STARBOARD GROUP OF RICHMOND NORTH LLC,12540 West Atlantic Blvd,CORAL SPRINGS,FL,753322.5,Paid in Full,04/13/2020,5488957101,722513,U.S. Century Bank,U.S. Century Bank
"SENTRY ROOF SERVICES, LLC",807 Dorsey Street,GAINESVILLE,GA,753147.37,Paid in Full,04/09/2020,1124637100,238160,First Century Bank National Association,First Century Bank National Association
GRAND BAY CONVALESCENT HOME INC,13750 Highway 90 West,GRAND BAY,AL,750757.5,Paid in Full,04/15/2020,1347167207,623312,Century Bank,Century Bank
"BUILDERS HARDWARE, INC.",5615 E. Powhattan Avenue,TAMPA,FL,750000.0,Paid in Full,04/10/2020,1846947101,444190,Century Bank of Florida,Century Bank of Florida
"AJAYA, LLC",807 Dorsey Street,GAINESVILLE,GA,739110.0,Paid in Full,04/05/2020,5185477004,236220,First Century Bank National Association,First Century Bank National Association
"HANSON BUILDERS, INC.",13432 HANSON BLVD NW,ANDOVER,MN,738900.0,Paid in Full,04/05/2020,5143787005,236115,21st Century Bank,21st Century Bank
