owner_name,property_address,mailing_address,mail_city,APN,LastSaleDate,LastSaleValue,BorrowerName,ppp_city,ppp_state,CurrentApprovalAmount,ForgivenessAmount,LoanStatus,DateApproved,OriginatingLender,OriginatingLenderState,NAICSCode,BusinessType
LEE BROTHERS LLC,7042 KEARNY DR,18685 SANTA IRENE ST,FOUNTAIN VALLEY,111-130-36,09/25/2003,,LEE BROTHERS LLC,Hanston,KS,20800.0,20843.91,Paid in Full,04/23/2021,Bank of Hays,KS,111110,Limited  Liability Company(LLC)
DDA LLC,17150 SAN MATEO ST # 9,PO BOX 722,ZEPHYR COVE,930-294-09,04/10/2009,0.0,DDA LLC,LOUISVILLE,KY,42200.0,42472.74,Paid in Full,04/13/2020,Republic Bank & Trust Company,KY,541618,Limited  Liability Company(LLC)
KC GROUP LLC,15301 PACIFIC ST,10252 AVENIDA CINCO DE MAYO,FOUNTAIN VALLEY,142-052-10,11/16/2022,820000.0,KC GROUP LLC,Hammonton,NJ,4140.0,4164.84,Paid in Full,04/02/2021,"Capital Plus Financial, LLC",TX,541410,Limited  Liability Company(LLC)
DLC ENTERPRISES LLC,17392 QUEENS LN,2650 ELM AVE STE 218,LONG BEACH,165-233-04,12/02/2016,1125000.0,"DLC ENTERPRISES, LLC",ASHBURN,VA,29114.0,29585.49,Paid in Full,06/18/2020,Fountainhead SBF LLC,FL,624120,Limited  Liability Company(LLC)
SDR LLC,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,03/12/2020,770000.0,"SDR, LLC",LARAMIE,WY,87900.0,88721.2,Paid in Full,04/29/2020,ANB Bank,CO,722511,Limited  Liability Company(LLC)
SDR LLC,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,,0.0,"SDR, LLC",LARAMIE,WY,87900.0,88721.2,Paid in Full,04/29/2020,ANB Bank,CO,722511,Limited  Liability Company(LLC)
SDR LLC,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,,0.0,"SDR, LLC",LARAMIE,WY,87900.0,88721.2,Paid in Full,04/29/2020,ANB Bank,CO,722511,Limited  Liability Company(LLC)
SDR LLC,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,,0.0,"SDR, LLC",LARAMIE,WY,87900.0,88721.2,Paid in Full,04/29/2020,ANB Bank,CO,722511,Limited  Liability Company(LLC)
INFINITY PROPERTIES LLC,775 W 17TH ST STE E,3419 VIA LIDO # 650,NEWPORT BEACH,939-831-22,09/18/2025,901500.0,INFINITY PROPERTIES LLC,Mounds,OK,69585.0,70238.33,Paid in Full,01/19/2021,Regent Bank,OK,236210,Limited Liability Partnership
BAM HOMES LLC,21851 NEWLAND ST SPC 270,135 S STATE COLLEGE BLVD STE 200,BREA,890-892-70,,,"BAM HOMES, LLC",LAKE OSWEGO,OR,11600.0,11682.95,Paid in Full,08/08/2020,KeyBank National Association,OH,236118,Subchapter S Corporation
PARS LLC,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,06/14/2018,0.0,P.A.R. & S. LLC,Pitman,NJ,39542.0,39931.93,Paid in Full,05/01/2020,"TD Bank, National Association",DE,811111,Limited  Liability Company(LLC)
