owner_name,property_address,mailing_address,mail_city,APN,LastSaleDate,LastSaleValue,BorrowerName,ppp_city,ppp_state,CurrentApprovalAmount,ForgivenessAmount,LoanStatus,DateApproved,OriginatingLender,OriginatingLenderState,NAICSCode,BusinessType
LA COLONIA LLC,9436 LA COLONIA AVE,16101 WALKER CIR,WESTMINSTER,167-163-19,03/02/2020,0.0,LA COLONIA LLC,SUITLAND,MD,29602.0,29769.74,Paid in Full,02/01/2021,Atlantic Union Bank,VA,445110,Limited  Liability Company(LLC)
EVERSTONE CAPITAL LLC,280 CAGNEY LN APT 116,268 AMBROISE,NEWPORT COAST,930-775-74,03/07/2025,900000.0,EVERSTONE CAPITAL LLC,NEW YORK,NY,146499.0,,Paid in Full,05/19/2020,First Source Federal Credit Union,NY,812990,Limited  Liability Company(LLC)
KJH INVESTMENTS LLC,17210 SAN MATEO ST # 24,12761 LONGDEN ST,GARDEN GROVE,930-294-24,08/31/2022,1166000.0,K & J H INVESTMENTS LLC,Milwaukee,WI,1457.0,1460.76,Paid in Full,05/12/2021,"U.S. Bank, National Association",OH,531311,Limited  Liability Company(LLC)
BOBS GARAGE LLC,711 W 17TH ST # 92,PO BOX 980,CORONA DEL MAR,939-830-92,10/11/2019,0.0,BOB'S GARAGE LLC,HANSFORD,WV,12990.0,13108.71,Paid in Full,04/13/2020,City National Bank of West Virginia,WV,811198,Limited  Liability Company(LLC)
TRIUMVIRATE LLC,21951 BROOKHURST ST,9874 RARITAN AVE,FOUNTAIN VALLEY,151-234-09,11/19/2021,2800000.0,TRIUMVIRATE LLC,CHEYENNE,WY,7700.0,7769.19,Paid in Full,04/15/2020,Pinnacle Bank-Wyoming,WY,453998,Corporation
RAV LLC,1 MAIN ST,175 CHESTNUT ST,SAN FRANCISCO,988-150-06,,,"RAV, L.L.C.",BELLINGHAM,WA,23955.0,24107.61,Paid in Full,04/27/2020,Peoples Bank,WA,236115,Limited  Liability Company(LLC)
RAV LLC,1 MAIN ST,175 CHESTNUT ST,SAN FRANCISCO,988-150-06,,,R-A-V LLC,Lincoln,NE,39200.0,39442.82,Paid in Full,01/21/2021,Midwest Bank,NE,485999,Limited  Liability Company(LLC)
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,06/04/2019,1127000.0,HB LLC,Las Vegas,NV,34922.0,35281.74,Paid in Full,03/03/2021,"Bank of America, National Association",NC,444190,Corporation
JJ HOLDINGS LLC,20331 BLUFFSIDE CIR # A204,6000 HACKBERRY CT,FRISCO,936-178-59,12/12/2019,0.0,"J&J HOLDINGS, LLC",SHAKOPEE,MN,102390.0,100076.93,Paid in Full,05/08/2020,"Bank of America, National Association",NC,484110,Limited  Liability Company(LLC)
PLH HOLDINGS LLC,14335 SUFFOLK ST,14331 SUFFOLK ST,WESTMINSTER,195-421-12,,0.0,PLH HOLDINGS L. L. C.,CHASKA,MN,20800.0,20975.52,Paid in Full,04/15/2020,Bridgewater Bank,MN,531210,Limited  Liability Company(LLC)
INSIGHT PROPERTIES LLC,3151 AIRWAY AVE STE M3,3151 AIRWAY AVE STE J2,COSTA MESA,938-940-68,09/28/2005,,INSIGHT PROPERTIES LLC,Saint Charles,MO,14546.0,14629.24,Paid in Full,03/03/2021,First Mid Bank and Trust National Association,MO,531390,Limited  Liability Company(LLC)
JJ HOLDINGS LLC,20331 BLUFFSIDE CIR # A204,6000 HACKBERRY CT,FRISCO,936-178-59,12/12/2019,0.0,"J&J HOLDINGS, LLC",FLORENCE,MS,9600.0,9691.27,Paid in Full,04/29/2020,Regions Bank,AL,541618,Limited  Liability Company(LLC)
A & D LLC,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,05/18/2021,0.0,AD LLC,scarsdale,NY,20800.0,21099.29,Paid in Full,05/01/2020,"Citibank, N.A.",SD,,Limited  Liability Company(LLC)
AMG GROUP LLC,807 MUIRFIELD DR,3 WOODLYN LN,BRADBURY,931-790-44,06/27/2018,900000.0,"AMG GROUP, LLC",Delaware,OH,20800.0,21031.93,Paid in Full,05/02/2020,Live Oak Banking Company,NC,523930,Limited  Liability Company(LLC)
GOODWILL LLC,12838 PALM ST UNIT 2,411 KINGSTON CT,MT PROSPECT,930-174-57,06/28/2019,475000.0,GOODWILL LLC,Brookfield,CT,7900.0,7949.38,Paid in Full,01/26/2021,Union Savings Bank,CT,445120,Limited  Liability Company(LLC)
OG RESIDENTIAL LLC,8940 COMET CIR,16404 SHADOW CT,LA MIRADA,107-626-20,09/12/2025,925000.0,OG RESIDENTIAL LLC,La Mirada,CA,4222.0,4274.75,Paid in Full,02/02/2021,"Wells Fargo Bank, National Association",SD,531390,Corporation
GARDEN RANCH LLC,12888 WESTERN AVE,1166 REDFERN CT,CONCORD,931-432-21,06/12/2019,365000.0,GARDEN RANCH LLC,Colorado Springs,CO,19617.0,19762.25,Paid in Full,02/24/2021,"JPMorgan Chase Bank, National Association",OH,623312,Limited  Liability Company(LLC)
ARABELLA LLC,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,11/17/1997,0.0,"ARABELLA, LLC",WINTER PARK,FL,12100.0,12287.21,Paid in Full,05/01/2020,Fifth Third Bank,OH,448120,Limited  Liability Company(LLC)
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,06/04/2019,1127000.0,HB LLC,PROVIDENCE,RI,193170.0,195424.53,Paid in Full,04/15/2020,Webster Bank National Association,CT,541310,Limited  Liability Company(LLC)
LAZER LLC,7782 RONALD DR,41156 CALLE SAN LEON,INDIO,165-302-05,04/19/2011,0.0,LAZER LLC,SADDLE RIVER,NJ,600000.0,,Paid in Full,04/15/2020,"TD Bank, National Association",DE,424330,Limited  Liability Company(LLC)
RAV LLC,1 MAIN ST,175 CHESTNUT ST,SAN FRANCISCO,988-150-06,,,RAV LLC,Myrtle Beach,SC,229100.0,231441.91,Paid in Full,03/18/2021,South Atlantic Bank,SC,722511,Limited Liability Partnership
FIRST HIGHLAND LLC,8171 COBBLESTONE LN # 4,9631 BOLSA AVE,WESTMINSTER,938-270-26,10/17/2012,0.0,"FIRST HIGHLAND, LLC",ORLANDO,FL,205811.48,207311.37,Paid in Full,04/29/2020,United Community Bank,FL,621399,Limited  Liability Company(LLC)
RMI MANAGEMENT LLC,17191 KAMPEN LN,5 RIDGELINE DR,NEWPORT BEACH,167-343-14,06/06/2017,620000.0,RMI MANAGEMENT LLC,LONGVIEW,TX,217702.0,220600.72,Paid in Full,04/06/2020,Texas Bank and Trust Company,TX,722511,Limited  Liability Company(LLC)
THE LE FAMILY LLC,16752 JEFFREY CIR,2279 EAGLE GLEN PKWY # 112-461,CORONA,107-662-06,06/28/2019,0.0,THE LE FAMILY LLC,Killeen,TX,213900.0,216929.76,Paid in Full,02/12/2021,Herring Bank,TX,721110,Limited  Liability Company(LLC)
TRK LLC,7924 STARK DR,3316 LONDON ST,LOS ANGELES,142-083-09,12/06/2016,5250000.0,"TRK, LLC",SALT LAKE CITY,UT,175700.0,178313.84,Paid in Full,04/10/2020,America First FCU,UT,541512,Limited  Liability Company(LLC)
INCUPLACE LLC,88 FAIR DR,PO BOX 3772,ALHAMBRA,988-007-23,,,INCUPLACE LLC,MARINA DEL REY,CA,287175.0,289330.78,Paid in Full,04/28/2020,Mega Bank,CA,541613,Limited  Liability Company(LLC)
2450 COLORADO BLVD LLC,16255 PACIFIC CIR APT 306,9025 S 1300 E,SANDY,936-770-15,02/21/2012,385000.0,2450 COLORADO BLVD LLC,Chatsworth,CA,188000.0,,Exemption 4,06/17/2020,"Zions Bank, A Division of",UT,531110,Limited  Liability Company(LLC)
PACE RECOVERY CENTER LLC,528 16TH ST,3197 AIRPORT LOOP DR STE B,COSTA MESA,023-148-33,07/27/2017,1400000.0,PACE RECOVERY CENTER LLC,NEWPORT BEACH,CA,510549.0,515612.53,Paid in Full,05/01/2020,"Wells Fargo Bank, National Association",SD,624190,Limited  Liability Company(LLC)
LIGHTHOUSE CAFE LLC,1600 W BALBOA BLVD,32565 GOLDEN LANTERN STE B,DANA POINT,988-007-96,,,LIGHTHOUSE CAFE LLC,Newport Beach,CA,366554.0,369265.5,Paid in Full,02/07/2021,"A10Capital, LLC",ID,722511,Limited  Liability Company(LLC)
DRT LLC,16862 CORAL CAY LN,20101 SW BIRCH ST STE 151,NEWPORT BEACH,178-653-37,07/29/1997,0.0,DRT LLC,ONTARIO,OR,357716.32,362048.12,Paid in Full,04/28/2020,Umpqua Bank,WA,423910,Limited  Liability Company(LLC)
SUMMIT PROPERTIES LLC,2501 FLORIDA ST,3334 E WOODBINE RD,ORANGE,025-111-58,03/07/2025,3100000.0,"SUMMIT PROPERTIES, LLC",Hot Springs National Park,AR,48800.0,49181.04,Paid in Full,04/16/2020,Regions Bank,AL,236220,Limited Liability Partnership
SUMMIT PROPERTIES LLC,2501 FLORIDA ST,3334 E WOODBINE RD,ORANGE,025-111-58,03/07/2025,3100000.0,SUMMIT PROPERTIES LLC,Guntersville,AL,16340.0,16419.43,Paid in Full,02/02/2021,Citizens Bank & Trust,AL,531210,Limited  Liability Company(LLC)
SUMMIT PROPERTIES LLC,2501 FLORIDA ST,3334 E WOODBINE RD,ORANGE,025-111-58,03/07/2025,3100000.0,"SUMMIT PROPERTIES, LLC",GUNTERSVILLE,AL,16340.0,16420.79,Paid in Full,04/08/2020,Citizens Bank & Trust,AL,531210,Limited  Liability Company(LLC)
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,06/30/2022,1780000.0,DBS ENTERPRISES LLC,Chugiak,AK,53826.0,54187.3,Paid in Full,02/10/2021,Celtic Bank Corporation,UT,236115,Limited  Liability Company(LLC)
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,06/30/2022,1780000.0,DBS ENTERPRISES LLC,Chugiak,AK,51455.0,52058.36,Paid in Full,05/05/2020,Celtic Bank Corporation,UT,236115,Limited  Liability Company(LLC)
AMERICA1 LLC,16542 MARIANA CIR,5562 LUTFORD CIR,WESTMINSTER,178-412-06,10/25/2019,0.0,AMERICA #1 LLC,ROGERS,AR,19300.0,19445.29,Paid in Full,04/30/2020,Generations Bank,AR,445120,Corporation
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,06/04/2019,1127000.0,HB LLC,Long Beach,CA,146130.0,147152.91,Paid in Full,02/11/2021,East West Bank,CA,721110,Limited  Liability Company(LLC)
GOLDEN HILLS PROPERTIES LLC,3335 W COAST HWY,9701 WILSHIRE BLVD STE 1115,BEVERLY HILLS,988-023-26,,,GOLDEN HILLS PROPERTIES LLC,Los Angeles,CA,88324.4,88842.08,Paid in Full,01/28/2021,East West Bank,CA,531120,Limited  Liability Company(LLC)
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,06/04/2019,1127000.0,HB LLC,LONG BEACH,CA,105100.0,105794.83,Paid in Full,04/09/2020,East West Bank,CA,721110,Limited  Liability Company(LLC)
GOLDEN HILLS PROPERTIES LLC,3335 W COAST HWY,9701 WILSHIRE BLVD STE 1115,BEVERLY HILLS,988-023-26,,,"GOLDEN HILLS PROPERTIES, LLC",LOS ANGELES,CA,87500.0,88144.1,Paid in Full,04/10/2020,East West Bank,CA,531120,Limited  Liability Company(LLC)
PARKSVILLE INVESTMENT LLC,7450 EDINGER AVE,4848 WILSHIRE BLVD APT 302,LOS ANGELES,142-511-17,12/27/2007,,PARKSVILLE INVESTMENT LLC,LOS ANGELES,CA,29165.0,29650.02,Paid in Full,05/06/2020,Celtic Bank Corporation,UT,531210,Limited  Liability Company(LLC)
SAMPSON VENTURES LLC,17682 SAMPSON LN,12221 POPLAR ST STE 3,HESPERIA,165-331-17,01/29/2025,0.0,SAMPSON VENTURES LLC,Mesa,AZ,20037.0,20241.27,Paid in Full,05/01/2020,WebBank,UT,561499,Limited  Liability Company(LLC)
SAMPSON VENTURES LLC,17682 SAMPSON LN,12221 POPLAR ST STE 3,HESPERIA,165-331-17,01/29/2025,0.0,SAMPSON VENTURES LLC,Mesa,AZ,12653.0,12693.07,Paid in Full,05/07/2021,WebBank,UT,531390,Limited  Liability Company(LLC)
A & D LLC,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,05/18/2021,0.0,"A & D, LLC",PHOENIX,AZ,32715.0,33060.54,Paid in Full,05/08/2020,"JPMorgan Chase Bank, National Association",IL,311520,Limited  Liability Company(LLC)
DRT INVESTMENTS LLC,16862 CORAL CAY LN,20101 SW BIRCH ST STE 151,NEWPORT BEACH,988-999-13,,,"DRT INVESTMENTS, LLC",PHOENIX,AZ,17210.0,17369.76,Paid in Full,05/01/2020,"JPMorgan Chase Bank, National Association",IL,999990,Limited  Liability Company(LLC)
DRT INVESTMENTS LLC,19900 BEACH BLVD,20101 SW BIRCH ST STE 151,NEWPORT BEACH,153-091-27,10/28/2003,0.0,"DRT INVESTMENTS, LLC",PHOENIX,AZ,17210.0,17369.76,Paid in Full,05/01/2020,"JPMorgan Chase Bank, National Association",IL,999990,Limited  Liability Company(LLC)
JEK INVESTMENTS LLC,1325 DELAWARE ST,620 TERMINAL WAY,COSTA MESA,025-091-01,,0.0,JEK INVESTMENTS LLC,Phoenix,AZ,26907.0,27221.78,Paid in Full,01/30/2021,Northeast Bank,ME,525920,Subchapter S Corporation
JBH LLC,711 W 17TH ST # 19,18331 E SANTA CLARA AVE,NORTH TUSTIN,939-830-19,03/16/2000,0.0,JBH LLC,PHOENIX,AZ,20607.0,20816.46,Paid in Full,04/27/2020,Stearns Bank National Association,MN,722513,Limited  Liability Company(LLC)
DRT INVESTMENTS LLC,16862 CORAL CAY LN,20101 SW BIRCH ST STE 151,NEWPORT BEACH,988-999-13,,,DRT INVESTMENTS LLC,Phoenix,AZ,24094.0,24246.82,Paid in Full,01/31/2021,"JPMorgan Chase Bank, National Association",OH,722513,Limited  Liability Company(LLC)
DRT INVESTMENTS LLC,19900 BEACH BLVD,20101 SW BIRCH ST STE 151,NEWPORT BEACH,153-091-27,10/28/2003,0.0,DRT INVESTMENTS LLC,Phoenix,AZ,24094.0,24246.82,Paid in Full,01/31/2021,"JPMorgan Chase Bank, National Association",OH,722513,Limited  Liability Company(LLC)
AA INVESTMENT LLC,7942 SPEER DR,16293 HEMLOCK ST,FOUNTAIN VALLEY,165-311-16,08/11/2022,2100000.0,A&A INVESTMENT LLC,GILBERT,AZ,12500.0,12570.83,Paid in Full,04/28/2020,First International Bank & Trust,ND,611710,Limited  Liability Company(LLC)
AA INVESTMENT LLC,7942 SPEER DR,16293 HEMLOCK ST,FOUNTAIN VALLEY,165-311-16,08/11/2022,2100000.0,A&A INVESTMENT LLC,Gilbert,AZ,11942.0,12002.37,Paid in Full,01/21/2021,First International Bank & Trust,ND,611691,Limited  Liability Company(LLC)
A & D LLC,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,05/18/2021,0.0,A & D LLC,Phoenix,AZ,55324.47,55607.24,Paid in Full,02/19/2021,First Fidelity Bank,OK,311520,Limited  Liability Company(LLC)
NEWPORT BEACH GOLF COURSE LLC,119-200 IRVINE BLVD,3100 IRVINE AVE,NEWPORT BEACH,988-012-81,,,NEWPORT BEACH GOLF COURSE LLC,NEWPORT BEACH,CA,115400.0,116402.24,Paid in Full,04/15/2020,BayFirst National Bank,FL,713910,Limited  Liability Company(LLC)
BONGOS SPORTFISHING LLC,829 HARBOR ISLAND DR,3181 ROWENA DR,ROSSMOOR,988-015-77,,,BONGOS SPORTFISHING LLC,NEWPORT BEACH,CA,25250.0,25670.66,Paid in Full,05/01/2020,"JPMorgan Chase Bank, National Association",IL,488390,Limited  Liability Company(LLC)
MERRIMAC PARTNERS LLC,20962 CABRILLO LN # 61,19871 YORBA LINDA BLVD STE 105,YORBA LINDA,934-472-42,01/30/2019,1150000.0,MERRIMAC PARTNERS LLC,YORBA LINDA,CA,41665.0,42106.21,Paid in Full,05/01/2020,"JPMorgan Chase Bank, National Association",IL,531120,Limited  Liability Company(LLC)
DEVPRI HOSPITALITY LLC,16220 PACIFIC COAST HWY,16555 PACIFIC COAST HWY,SUNSET BEACH,178-581-12,04/21/2016,1700000.0,DEVPRI HOSPITALITY LLC,Sunset Beach,CA,67100.0,67723.2,Paid in Full,03/13/2021,PCB Bank,CA,721110,Limited  Liability Company(LLC)
DEVPRI HOSPITALITY LLC,16561 PACIFIC COAST HWY,16555 PACIFIC COAST HWY,SUNSET BEACH,178-516-13,,0.0,DEVPRI HOSPITALITY LLC,Sunset Beach,CA,67100.0,67723.2,Paid in Full,03/13/2021,PCB Bank,CA,721110,Limited  Liability Company(LLC)
DEVPRI HOSPITALITY LLC,16220 PACIFIC COAST HWY,16555 PACIFIC COAST HWY,SUNSET BEACH,178-581-12,04/21/2016,1700000.0,DEVPRI HOSPITALITY LLC,SUNSET BEACH,CA,47900.0,48329.13,Paid in Full,04/09/2020,PCB Bank,CA,721110,Limited  Liability Company(LLC)
DEVPRI HOSPITALITY LLC,16561 PACIFIC COAST HWY,16555 PACIFIC COAST HWY,SUNSET BEACH,178-516-13,,0.0,DEVPRI HOSPITALITY LLC,SUNSET BEACH,CA,47900.0,48329.13,Paid in Full,04/09/2020,PCB Bank,CA,721110,Limited  Liability Company(LLC)
RANCHO LA SIESTA LLC,18194 BUSHARD ST,18182 BUSHARD ST,FOUNTAIN VALLEY,157-231-04,12/29/2010,0.0,RANCHO LA SIESTA LLC,Fountain Valley,CA,45000.0,45366.25,Paid in Full,08/05/2020,Fountainhead SBF LLC,FL,531190,Limited  Liability Company(LLC)
H B ENTERPRISE PROPERTY LLC,18372 ENTERPRISE LN,7332 SIENA AVE,WESTMINSTER,159-212-04,,0.0,"H.B. ENTERPRISE PROPERTY, LLC",Garden Grove,CA,145832.5,147849.85,Paid in Full,02/11/2021,Itria Ventures LLC,NY,424990,Limited  Liability Company(LLC)
LFA GROUP LLC,12762 MAIN ST,11461 LAMPSON AVE,GARDEN GROVE,988-072-62,,,"LFA GROUP, LLC",GARDEN GROVE,CA,43290.0,,Paid in Full,04/30/2020,"Bank of America, National Association",NC,722511,Limited  Liability Company(LLC)
CROWN WEALTH PROPERTIES LLC,2900 BRISTOL ST # 1,2900 BRISTOL ST STE B106,COSTA MESA,939-570-01,09/14/2011,0.0,CROWN WEALTH PROPERTIES LLC,COSTA MESA,CA,43190.0,43676.33,Paid in Full,05/01/2020,"Bank of America, National Association",NC,531210,Subchapter S Corporation
WFS PROPERTIES LLC,212 15TH ST,595 W LAMBERT RD STE 108,BREA,024-031-15,07/16/2024,3850000.0,WFS PROPERTIES LLC,BREA,CA,54417.0,54911.97,Paid in Full,05/01/2020,"Bank of America, National Association",NC,531120,Limited  Liability Company(LLC)
PARS LLC,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,06/14/2018,0.0,PARS LLC.,Chula Vista,CA,54442.0,54834.74,Paid in Full,02/04/2021,"JPMorgan Chase Bank, National Association",OH,722515,Limited  Liability Company(LLC)
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,06/30/2022,1780000.0,DBS ENTERPRISES LLC,SANTA CLARA,CA,131908.0,,Paid in Full,04/15/2020,Heritage Bank of Commerce,CA,722511,Limited  Liability Company(LLC)
SMD INVESTMENTS LLC,1654 IOWA ST UNIT C,9851 OASIS AVE,GARDEN GROVE,932-071-07,09/13/2022,510000.0,SMD INVESTMENTS LLC,Cottondale,AL,21700.0,21909.16,Paid in Full,04/15/2020,Truist Bank,NC,447110,Limited  Liability Company(LLC)
TRIUMVIRATE LLC,21951 BROOKHURST ST,9874 RARITAN AVE,FOUNTAIN VALLEY,151-234-09,11/19/2021,2800000.0,"TRIUMVIRATE, LLC",ANCHORAGE,AK,619100.0,625841.31,Paid in Full,04/09/2020,Bank of Jackson Hole Trust,WY,713920,Limited  Liability Company(LLC)
TRIUMVIRATE LLC,21951 BROOKHURST ST,9874 RARITAN AVE,FOUNTAIN VALLEY,151-234-09,11/19/2021,2800000.0,TRIUMVIRATE LLC,Anchorage,AK,852740.0,859751.42,Paid in Full,02/17/2021,Bank of Jackson Hole Trust,WY,721199,Limited  Liability Company(LLC)
LIGHTHOUSE CAFE LLC,1600 W BALBOA BLVD,32565 GOLDEN LANTERN STE B,DANA POINT,988-007-96,,,"LIGHTHOUSE CAFE, LLC",Newport Beach,CA,256495.0,259397.26,Paid in Full,04/28/2020,US Bank National Association,CA,722511,Limited  Liability Company(LLC)
PACIFIC METALS GROUP LLC,829 HARBOR ISLAND DR,224 GLIDER CIR,CORONA,988-009-52,,,"PACIFIC METALS GROUP, LLC",Ontario,CA,381536.7,385634.3,Paid in Full,01/30/2021,American Business Bank,CA,336413,Limited  Liability Company(LLC)
PACIFIC METALS GROUP LLC,829 HARBOR ISLAND DR,224 GLIDER CIR,CORONA,988-009-52,,,"PACIFIC METALS GROUP, LLC",ONTARIO,CA,364400.0,368313.56,Paid in Full,04/14/2020,American Business Bank,CA,332322,Limited  Liability Company(LLC)
NEWPORT LLC,4340 VON KARMAN AVE STE 205,640 N DIAMOND BAR BLVD,DIAMOND BAR,934-057-17,,,NEWPORT LLC,SAN FRANCISCO,CA,536590.0,540721.01,Paid in Full,04/13/2020,Synovus Bank,GA,611710,Limited  Liability Company(LLC)
MNM GROUP LLC,18319 EUCLID ST,3251 E SLAUSON AVE,VERNON,932-882-04,12/30/2022,4700000.0,"MNM GROUP, LLC",LOS ANGELES,CA,647186.0,,Paid in Full,04/30/2020,"JPMorgan Chase Bank, National Association",IL,423210,Limited  Liability Company(LLC)
"LIDO HOUSE, LLC",3300 NEWPORT BLVD,RD OLSON DEVELOPMENT 520 NEWPORT CENTER DR STE 600,NEWPORT BEACH,988-069-68,,,LIDO HOUSE LLC,Newport Beach,CA,2000000.0,2017444.44,Paid in Full,02/22/2021,CommerceWest Bank,CA,721110,Limited  Liability Company(LLC)
"LIDO HOUSE, LLC",3300 NEWPORT BLVD,RD OLSON DEVELOPMENT 520 NEWPORT CENTER DR STE 600,NEWPORT BEACH,988-069-68,,,LIDO HOUSE LLC,NEWPORT BEACH,CA,1898800.0,1917524.28,Paid in Full,04/14/2020,CommerceWest Bank,CA,721110,Limited  Liability Company(LLC)
INCUPLACE LLC,88 FAIR DR,PO BOX 3772,ALHAMBRA,988-007-23,,,INCUPLACE LLC,Marina del Rey,CA,301444.0,304062.02,Paid in Full,02/20/2021,"Harvest Small Business Finance, LLC",CA,722310,Limited  Liability Company(LLC)
SWUN MATH LLC,19585 ELMRIDGE LN,10073 VALLEY VIEW ST # 116,CYPRESS,023-491-55,09/02/2022,1412500.0,"SWUN MATH, LLC",CYPRESS,CA,294773.0,296339.74,Paid in Full,04/30/2020,Farmers & Merchants Bank of Long Beach,CA,611710,Limited  Liability Company(LLC)
2450 COLORADO BLVD LLC,16255 PACIFIC CIR APT 306,9025 S 1300 E,SANDY,936-770-15,02/21/2012,385000.0,2450 COLORADO BLVD LLC,Chatsworth,CA,188000.0,,Exemption 4,03/12/2021,"Zions Bank, A Division of",UT,531110,Limited  Liability Company(LLC)
COMPASSIONATE CARE HOSPICE LLC,17220 NEWHOPE ST STE 124,17220 NEWHOPE ST,FOUNTAIN VALLEY,938-780-18,09/04/2018,419000.0,COMPASSIONATE CARE HOSPICE LLC,FOUNTAIN VALLEY,CA,279820.0,281636.91,Paid in Full,05/01/2020,"Bank of America, National Association",NC,623110,Corporation
COMPASSIONATE CARE HOSPICE LLC,17220 NEWHOPE ST STE 123,17220 NEWHOPE ST,FOUNTAIN VALLEY,938-780-19,09/04/2018,419000.0,COMPASSIONATE CARE HOSPICE LLC,FOUNTAIN VALLEY,CA,279820.0,281636.91,Paid in Full,05/01/2020,"Bank of America, National Association",NC,623110,Corporation
MY VILLAGE LLC,12555 EUCLID ST APT 53,PO BOX 2247,ANAHEIM,930-536-39,11/26/2002,0.0,MYVILLAGE LLC,Nederland,CO,370030.0,374357.3,Paid in Full,04/27/2020,Silicon Valley Bridge Bank NA,CA,533110,Limited  Liability Company(LLC)
FIRST HIGHLAND LLC,8171 COBBLESTONE LN # 4,9631 BOLSA AVE,WESTMINSTER,938-270-26,10/17/2012,0.0,FIRST HIGHLAND LLC,Windermere,FL,205800.0,207040.44,Paid in Full,01/30/2021,United Community Bank,SC,812199,Limited  Liability Company(LLC)
AIMS LLC,16091 BEACH BLVD,15142 SOBEY RD,SARATOGA,142-082-35,01/18/2017,4600000.0,"AIMS, LLC",MISHAWAKA,IN,585527.0,593416.98,Paid in Full,05/01/2020,"JPMorgan Chase Bank, National Association",IL,621399,Limited  Liability Company(LLC)
STEWART INDUSTRIES LLC,3311 BOUNTY CIR,1077 PACIFIC COAST HWY # 247,SEAL BEACH,178-431-14,05/04/2021,0.0,STEWART INDUSTRIES LLC,Battle Creek,MI,564165.0,568245.54,Paid in Full,03/31/2021,"Bank of America, National Association",NC,336211,Limited  Liability Company(LLC)
STEWART INDUSTRIES LLC,3311 BOUNTY CIR,1077 PACIFIC COAST HWY # 247,SEAL BEACH,178-431-14,05/04/2021,0.0,STEWART INDUSTRIES LLC,BATTLE CREEK,MI,564162.5,569665.02,Paid in Full,04/15/2020,"Bank of America, National Association",NC,336211,Limited  Liability Company(LLC)
RAV LLC,1 MAIN ST,175 CHESTNUT ST,SAN FRANCISCO,988-150-06,,,RAV LLC,MYRTLE BEACH,SC,163700.0,165932.69,Paid in Full,04/08/2020,South Atlantic Bank,SC,722511,Limited Liability Partnership
THE LE FAMILY LLC,16752 JEFFREY CIR,2279 EAGLE GLEN PKWY # 112-461,CORONA,107-662-06,06/28/2019,0.0,THE LE FAMILY LLC,KILLEEN,TX,152800.0,154395.91,Paid in Full,04/15/2020,Herring Bank,TX,721110,Limited  Liability Company(LLC)
