llc_name,property_address,mail_city,last_sale_value,ppp_loan_count,ppp_total_amount,ppp_total_forgiven,ppp_names_matched,loan_details,loan_locations,loan_statuses
LOS ALAMOS LLC,17101 ASH LN,COSTA MESA,2200000.0,1,64600.0,64923.88,LOS ALAMOS LLC,$64600 on 02/22/2021,"Uvalde, TX",Paid in Full
SAMPSON VENTURES LLC,17682 SAMPSON LN,HESPERIA,0.0,3,62363.0,62817.9,SAMPSON VENTURES LLC,$12653 on 05/07/2021; $29673 on 02/26/2021; $20037 on 05/01/2020,"Mesa, AZ; Panama City, FL",Paid in Full
LA COLONIA LLC,9436 LA COLONIA AVE,WESTMINSTER,0.0,2,59202.0,59671.5,LA COLONIA LLC,$29602 on 02/01/2021; $29600 on 06/12/2020,"SUITLAND, MD; Suitland, MD",Paid in Full
WFS PROPERTIES LLC,212 15TH ST,BREA,3850000.0,1,54417.0,54911.97,WFS PROPERTIES LLC,$54417 on 05/01/2020,"BREA, CA",Paid in Full
HAN LLC,6272 CHINOOK AVE,WESTMINSTER,900000.0,3,53669.0,53903.02,HAN LLC,$32900 on 07/10/2020; $7900 on 05/01/2020; $12869 on 02/03/2021,"FREEPORT, ME; LEAVENWORTH, KS; Leavenworth, KS",Paid in Full
HAN LLC,6262 CHINOOK AVE,WESTMINSTER,900000.0,3,53669.0,53903.02,HAN LLC,$7900 on 05/01/2020; $32900 on 07/10/2020; $12869 on 02/03/2021,"Leavenworth, KS; FREEPORT, ME; LEAVENWORTH, KS",Paid in Full
INSIGHT PROPERTIES LLC,3151 AIRWAY AVE STE M3,COSTA MESA,,3,49879.0,50162.23,INSIGHT PROPERTIES LLC,$14500 on 04/28/2020; $20833 on 04/07/2021; $14546 on 03/03/2021,"Happy Valley, OR; SAINT CHARLES, MO; Saint Charles, MO",Paid in Full
J3 HOLDINGS LLC,12422 WOODBRIDGE DR,TUSTIN,0.0,1,47600.0,47943.78,J3 HOLDINGS LLC,$47600 on 04/14/2020,"FARGO, ND",Paid in Full
J3 HOLDINGS LLC,12555 EUCLID ST APT 51,TUSTIN,115000.0,1,47600.0,47943.78,J3 HOLDINGS LLC,$47600 on 04/14/2020,"FARGO, ND",Paid in Full
J3 HOLDINGS LLC,10371 GARDEN GROVE BLVD APT 32,TUSTIN,0.0,1,47600.0,47943.78,J3 HOLDINGS LLC,$47600 on 04/14/2020,"FARGO, ND",Paid in Full
RANCHO LA SIESTA LLC,18194 BUSHARD ST,FOUNTAIN VALLEY,0.0,1,45000.0,45366.25,RANCHO LA SIESTA LLC,$45000 on 08/05/2020,"Fountain Valley, CA",Paid in Full
SDM HOLDINGS LLC,16541 LOIRE CIR,NEWPORT COAST,1300000.0,2,44528.67,41410.76,SDM HOLDINGS LLC,$24737 on 04/14/2020; $19792 on 03/20/2021,"Castle Pines, CO; CASTLE PINES, CO",Paid in Full
CROWN WEALTH PROPERTIES LLC,2900 BRISTOL ST # 1,COSTA MESA,0.0,1,43190.0,43676.33,CROWN WEALTH PROPERTIES LLC,$43190 on 05/01/2020,"COSTA MESA, CA",Paid in Full
MERRIMAC PARTNERS LLC,20962 CABRILLO LN # 61,YORBA LINDA,1150000.0,1,41665.0,42106.21,MERRIMAC PARTNERS LLC,$41665 on 05/01/2020,"YORBA LINDA, CA",Paid in Full
CTA ENTERPRISES LLC,5231 CHADWICK DR,GARDEN GROVE,0.0,2,41664.0,42109.18,CTA ENTERPRISES LLC,$20832 on 04/30/2020; $20832 on 03/25/2021,"Garden Grove, CA; GARDEN GROVE, CA",Paid in Full
CTA ENTERPRISES LLC,16221 WATSON CIR,GARDEN GROVE,0.0,2,41664.0,42109.18,CTA ENTERPRISES LLC,$20832 on 04/30/2020; $20832 on 03/25/2021,"GARDEN GROVE, CA; Garden Grove, CA",Paid in Full
LEE BROTHERS LLC,7042 KEARNY DR,FOUNTAIN VALLEY,,2,41600.0,41719.02,LEE BROTHERS LLC,$20800 on 04/23/2021; $20800 on 01/21/2021,"Hanston, KS",Paid in Full
AIMS LLC,16091 BEACH BLVD,SARATOGA,4600000.0,1,41250.0,41586.88,AIMS LLC,$41250 on 04/29/2020,"SPRINGFIELD, MO",Paid in Full
GARDEN RANCH LLC,12888 WESTERN AVE,CONCORD,365000.0,2,37424.0,37735.52,GARDEN RANCH LLC,$19617 on 02/24/2021; $17807 on 05/01/2020,"COLORADO SPRINGS, CO; Colorado Springs, CO",Paid in Full
JJ HOLDINGS LLC,20331 BLUFFSIDE CIR # A204,FRISCO,0.0,1,36200.0,36474.72,JJ HOLDINGS LLC,$36200 on 04/04/2020,"LAFAYETTE, LA",Paid in Full
PARS LLC,200 HARBOR WOODS PL,TULSA,0.0,2,32861.0,33140.18,PARS LLC,$13692 on 05/01/2020; $19169 on 03/12/2021,"FARMINGTON HILLS, MI; Farmington Hills, MI",Paid in Full
PARKSVILLE INVESTMENT LLC,7450 EDINGER AVE,LOS ANGELES,,1,29165.0,29650.02,PARKSVILLE INVESTMENT LLC,$29165 on 05/06/2020,"LOS ANGELES, CA",Paid in Full
ERA VENTURES LLC,8700 WARNER AVE,FOUNTAIN VALLEY,4000000.0,2,27900.0,28094.85,ERA VENTURES LLC,$16500 on 01/29/2021; $11400 on 06/24/2020,"COTO LAUREL, PR; Cotto Laurel, PR",Paid in Full
JEK INVESTMENTS LLC,1325 DELAWARE ST,COSTA MESA,0.0,1,26907.0,27221.78,JEK INVESTMENTS LLC,$26907 on 01/30/2021,"Phoenix, AZ",Paid in Full
SDR LLC,5902 CHINOOK DR,ANAHEIM,770000.0,3,26196.87,26406.32,SDR LLC,$6200 on 05/20/2020; $13200 on 06/11/2020; $6797 on 05/07/2021,"SALT LAKE CITY, UT; Salt Lake City, UT; GASTON, SC",Paid in Full
SDR LLC,15421 HANOVER LN,ANAHEIM,0.0,3,26196.87,26406.32,SDR LLC,$6797 on 05/07/2021; $13200 on 06/11/2020; $6200 on 05/20/2020,"Salt Lake City, UT; GASTON, SC; SALT LAKE CITY, UT",Paid in Full
SDR LLC,6561 SORENTO CIR,ROWLAND HEIGHTS,0.0,3,26196.87,26406.32,SDR LLC,$6200 on 05/20/2020; $6797 on 05/07/2021; $13200 on 06/11/2020,"Salt Lake City, UT; SALT LAKE CITY, UT; GASTON, SC",Paid in Full
SDR LLC,16691 BARTLETT LN,ANAHEIM,0.0,3,26196.87,26406.32,SDR LLC,$6200 on 05/20/2020; $6797 on 05/07/2021; $13200 on 06/11/2020,"GASTON, SC; SALT LAKE CITY, UT; Salt Lake City, UT",Paid in Full
SUBURBAN PROPERTIES LLC,9679 ELLIS AVE,FOUNTAIN VALLEY,0.0,1,26047.0,26161.32,SUBURBAN PROPERTIES LLC,$26047 on 02/03/2021,"Batavia, IL",Paid in Full
BONGOS SPORTFISHING LLC,829 HARBOR ISLAND DR,ROSSMOOR,,1,25250.0,25670.66,BONGOS SPORTFISHING LLC,$25250 on 05/01/2020,"NEWPORT BEACH, CA",Paid in Full
DRT INVESTMENTS LLC,19900 BEACH BLVD,NEWPORT BEACH,0.0,1,24094.0,24246.82,DRT INVESTMENTS LLC,$24094 on 01/31/2021,"Phoenix, AZ",Paid in Full
DRT INVESTMENTS LLC,16862 CORAL CAY LN,NEWPORT BEACH,,1,24094.0,24246.82,DRT INVESTMENTS LLC,$24094 on 01/31/2021,"Phoenix, AZ",Paid in Full
SMD INVESTMENTS LLC,1654 IOWA ST UNIT C,GARDEN GROVE,510000.0,1,21700.0,21909.16,SMD INVESTMENTS LLC,$21700 on 04/15/2020,"Cottondale, AL",Paid in Full
ARES INVESTMENT GROUP LLC,7755 CENTER AVE,COSTA MESA,42000000.0,1,20832.0,20887.93,ARES INVESTMENT GROUP LLC,$20832 on 04/06/2021,"Reno, NV",Paid in Full
ARES INVESTMENT GROUP LLC,7777 CENTER AVE,COSTA MESA,42000000.0,1,20832.0,20887.93,ARES INVESTMENT GROUP LLC,$20832 on 04/06/2021,"Reno, NV",Paid in Full
ARES INVESTMENT GROUP LLC,7767 CENTER AVE,COSTA MESA,42000000.0,1,20832.0,20887.93,ARES INVESTMENT GROUP LLC,$20832 on 04/06/2021,"Reno, NV",Paid in Full
ARES INVESTMENT GROUP LLC,7711 CENTER AVE,COSTA MESA,42000000.0,1,20832.0,20887.93,ARES INVESTMENT GROUP LLC,$20832 on 04/06/2021,"Reno, NV",Paid in Full
LOTUS PROPERTIES LLC,14472 SPA DR,VILLA PARK,0.0,1,20265.0,20534.27,LOTUS PROPERTIES LLC,$20265 on 05/01/2020,"SPRING, TX",Paid in Full
AGG PROPERTIES LLC,12610 WESTMINSTER AVE # 2A,GARDEN GROVE,,1,19200.0,19398.93,AGG PROPERTIES LLC,$19200 on 05/16/2020,"SAINT PETERSBURG, FL",Paid in Full
JS PROPERTIES LLC,121 MAIN ST,SAN DIEGO,0.0,1,17575.0,17757.97,JS PROPERTIES LLC,$17575 on 06/23/2020,"Dix Hills, NY",Paid in Full
GOODWILL LLC,12838 PALM ST UNIT 2,MT PROSPECT,475000.0,2,16400.0,16502.06,GOODWILL LLC,$8500 on 04/28/2020; $7900 on 01/26/2021,"Brookfield, CT; BROOKFIELD, CT",Paid in Full
SUMMIT PROPERTIES LLC,2501 FLORIDA ST,ORANGE,3100000.0,1,16340.0,16419.43,SUMMIT PROPERTIES LLC,$16340 on 02/02/2021,"Guntersville, AL",Paid in Full
DLC ENTERPRISES LLC,17392 QUEENS LN,LONG BEACH,1125000.0,1,16042.0,16147.16,DLC ENTERPRISES LLC,$16042 on 01/20/2021,"Lincoln, RI",Paid in Full
ARABELLA LLC,17162 BLUEWATER LN # 165,YORBA LINDA,0.0,3,13513.0,13625.69,ARABELLA LLC,$4303 on 05/01/2020; $3379 on 01/19/2021; $5831 on 02/19/2021,"Glen Arbor, MI; Skaneateles, NY",Paid in Full
ON THE EDGE DESIGNS LLC,419 29TH ST,KAILUA KONA,4579000.0,1,12900.0,13059.75,ON THE EDGE DESIGNS LLC,$12900 on 04/27/2020,"KAILUA KONA, HI",Paid in Full
POINTFAR AUTOMATION LLC,16655 PACIFIC COAST HWY,NORTHRIDGE,1400000.0,2,11365.0,11431.95,POINTFAR AUTOMATION LLC,$2865 on 05/13/2021; $8500 on 04/30/2020,"Santa Clarita, CA; NEW HALL, CA",Paid in Full
SEA AIRE APARTMENTS LLC,725 UTICA AVE,LOS ANGELES,0.0,1,9950.0,10060.28,SEA AIRE APARTMENTS LLC,$9950 on 06/01/2020,"LOS ANGELES, CA",Paid in Full
SEA AIRE APARTMENTS LLC,729 UTICA AVE,LOS ANGELES,1950000.0,1,9950.0,10060.28,SEA AIRE APARTMENTS LLC,$9950 on 06/01/2020,"LOS ANGELES, CA",Paid in Full
SEA AIRE APARTMENTS LLC,733 UTICA AVE,LOS ANGELES,,1,9950.0,10060.28,SEA AIRE APARTMENTS LLC,$9950 on 06/01/2020,"LOS ANGELES, CA",Paid in Full
DAYAL LLC,8491 ATLANTA AVE # 201,ROSEMEAD,1500000.0,1,9750.0,9804.23,DAYAL LLC,$9750 on 04/27/2020,"CHECOTAH, OK",Paid in Full
ALCHEMY FACTORY LLC,2900 BRISTOL ST # 39,COSTA MESA,620000.0,1,9600.0,9675.48,ALCHEMY FACTORY LLC,$9600 on 05/01/2020,"Costa Mesa, CA",Paid in Full
RCP ENTERPRISES LLC,1688 TOPANGA,NEWPORT BEACH,,1,9397.0,9458.86,RCP ENTERPRISES LLC,$9397 on 02/23/2021,"Johnston, RI",Paid in Full
FRR LLC,17712 CRABB LN,SANTA FE SPRINGS,0.0,1,8600.0,8676.21,FRR LLC,$8600 on 02/17/2021,"Burlington, IA",Paid in Full
FRR LLC,17711 CRABB LN,SANTA FE SPRINGS,0.0,1,8600.0,8676.21,FRR LLC,$8600 on 02/17/2021,"Burlington, IA",Paid in Full
OG RESIDENTIAL LLC,8940 COMET CIR,LA MIRADA,925000.0,2,8462.0,8552.5,OG RESIDENTIAL LLC,$4240 on 05/01/2020; $4222 on 02/02/2021,"La Mirada, CA; LA MIRADA, CA",Paid in Full
SANDERSON GROUP LLC,16212 KIPLING CIR,MISSION VIEJO,0.0,1,8332.0,,SANDERSON GROUP LLC,$8332 on 04/30/2020,"AUSTIN, TX",Paid in Full
FOCUS REALTY LLC,4340 VON KARMAN AVE STE 200,NEWPORT BEACH,1912000.0,1,7500.0,7574.79,FOCUS REALTY LLC,$7500 on 05/15/2020,"DASSEL, MN",Paid in Full
FOCUS REALTY LLC,4340 VON KARMAN AVE STE 201,NEWPORT BEACH,,1,7500.0,7574.79,FOCUS REALTY LLC,$7500 on 05/15/2020,"DASSEL, MN",Paid in Full
FOCUS REALTY LLC,4340 VON KARMAN AVE STE 211,NEWPORT BEACH,,1,7500.0,7574.79,FOCUS REALTY LLC,$7500 on 05/15/2020,"DASSEL, MN",Paid in Full
PALACE PROPERTIES LLC,755 W 17TH ST STE I,NEWPORT BEACH,375000.0,1,7200.0,7289.75,PALACE PROPERTIES LLC,$7200 on 04/15/2020,"AURORA, IL",Paid in Full
POSEIDON ENTERPRISES LLC,16891 CORAL CAY LN,CHINO,0.0,1,6070.0,6109.99,POSEIDON ENTERPRISES LLC,$6070 on 03/17/2021,"Hillsborough, NJ",Paid in Full
NM 168 LLC,10139 LIGHTBREEZE CIR,FOUNTAIN VALLEY,2782500.0,1,5767.0,5804.36,NM 168 LLC,$5767 on 03/12/2021,"Irvine, CA",Paid in Full
NM 168 LLC,10149 LIGHTBREEZE CIR,FOUNTAIN VALLEY,2782500.0,1,5767.0,5804.36,NM 168 LLC,$5767 on 03/12/2021,"Irvine, CA",Paid in Full
PEACEFUL JOURNEY LLC,16511 GOLDENWEST ST,SUNSET BEACH,0.0,1,5010.0,5055.02,PEACEFUL JOURNEY LLC,$5010 on 05/08/2020,"HUNTINGTON BEACH, CA",Paid in Full
L & E HOLDINGS LLC,10541 LAKESIDE DR S # 159,ANAHEIM,0.0,1,4700.0,4743.21,L & E HOLDINGS LLC,$4700 on 04/07/2020,"GROVE, OK",Paid in Full
KC GROUP LLC,15301 PACIFIC ST,FOUNTAIN VALLEY,820000.0,1,4140.0,4164.84,KC GROUP LLC,$4140 on 04/02/2021,"Hammonton, NJ",Paid in Full
WILDCAT PROPERTIES LLC,200 PACIFIC COAST HWY UNIT 345,FARMINGTON,600000.0,1,4000.0,4040.44,WILDCAT PROPERTIES LLC,$4000 on 06/03/2020,"Greenfield Center, NY",Paid in Full
DNA INVESTMENTS LLC,7 IMA LOA CT # 160,NEWPORT BEACH,1575000.0,1,2452.0,2462.21,DNA INVESTMENTS LLC,$2452 on 04/17/2021,"New Orleans, LA",Paid in Full
BAM HOMES LLC,21851 NEWLAND ST SPC 270,BREA,,1,2417.0,2444.35,BAM HOMES LLC,$2417 on 02/05/2021,"Lake Oswego, OR",Paid in Full
YSA LLC,12 HARBOR IS,NEWPORT BEACH,,1,2296.0,2323.3,YSA LLC,$2296 on 06/23/2020,"RICHMOND, VA",Paid in Full
MY VILLAGE LLC,12555 EUCLID ST APT 53,ANAHEIM,0.0,1,1000.0,1006.72,MY VILLAGE LLC,$1000 on 05/08/2020,"OLYMPIA, WA",Paid in Full
