entity_name,disqualification_reasons,data_sources,property_address,mail_city,ppp_amounts,loan_locations
MJB RENTALS LLC,llc_or_corp; ppp_out_of_state; suspicious_network_match,suspicious_hb_network,22 SURFSIDE AVE # B,DOWNEY,12607.29,
MY VILLAGE LLC,rico_evidence,rico_evidence_matrix,,,,
NEWPORT BEACH GOLF COURSE LLC,llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,119-200 IRVINE BLVD,NEWPORT BEACH,115400.0,"NEWPORT BEACH, CA"
NEWPORT LLC,high_ppp_amount; llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,4340 VON KARMAN AVE STE 205,DIAMOND BAR,536590.0,"SAN FRANCISCO, CA"
NM 168 LLC,rico_evidence,rico_evidence_matrix,,,,
OG RESIDENTIAL LLC,llc_or_corp; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,8940 COMET CIR,LA MIRADA,4240.0 | 4222.0,
ON THE EDGE DESIGNS LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,419 29TH ST,KAILUA KONA,12900.0,
PACE RECOVERY CENTER LLC,high_ppp_amount; llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,528 16TH ST,COSTA MESA,510549.0,"NEWPORT BEACH, CA"
PALACE PROPERTIES LLC,rico_evidence,rico_evidence_matrix,,,,
PARKSVILLE INVESTMENT LLC,llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,7450 EDINGER AVE,LOS ANGELES,29165.0,"LOS ANGELES, CA"
PARS LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,200 HARBOR WOODS PL,TULSA,54442.0 | 13692.0 | 19169.0,
PEACEFUL JOURNEY LLC,llc_or_corp; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,16511 GOLDENWEST ST,SUNSET BEACH,5010.0,
PHAM FAMILY LLC,llc_or_corp; ppp_out_of_state; suspicious_network_match,suspicious_hb_network,7192 MAIN ST # 10,DOWNEY,36424.0,
POINTFAR AUTOMATION LLC,llc_or_corp; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,16655 PACIFIC COAST HWY,NORTHRIDGE,2865.0 | 8500.0,
POS LLC,llc_or_corp; ppp_out_of_state; suspicious_network_match,suspicious_hb_network,227 2ND ST,EL DORADO,18200.0,
POSEIDON ENTERPRISES LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,16891 CORAL CAY LN,CHINO,6070.0,
PTCM LLC,llc_or_corp; ppp_out_of_state; suspicious_network_match,suspicious_hb_network,1940 MAPLE AVE APT 101,VILLA PARK,20832.0,
RANCHO LA SIESTA LLC,llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,18194 BUSHARD ST,FOUNTAIN VALLEY,45000.0,"Fountain Valley, CA"
RAV LLC,high_ppp_amount; llc_or_corp; ppp_fraud_multiple_loans; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,1 MAIN ST,SAN FRANCISCO,392800.0,"MYRTLE BEACH, SC; Myrtle Beach, SC"
RCP ENTERPRISES LLC,rico_evidence,rico_evidence_matrix,,,,
RMI MANAGEMENT LLC,high_ppp_amount; llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,17191 KAMPEN LN,NEWPORT BEACH,217702.0,"LONGVIEW, TX"
SAMPSON VENTURES LLC,llc_or_corp; ppp_fraud_multiple_loans; ppp_out_of_state; ppp_rico_match; rico_evidence; suspicious_network_match,ppp_rico_matches; rico_evidence_matrix; suspicious_hb_network,17682 SAMPSON LN,HESPERIA,32690.0 | 35480.0 | 29673.0 | 20037.0 | 12653.0,"Mesa, AZ"
SANDERSON GROUP LLC,rico_evidence,rico_evidence_matrix,,,,
SDM HOLDINGS LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,16541 LOIRE CIR,NEWPORT COAST,19791.67 | 24737.0,
SDR LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,6561 SORENTO CIR,ROWLAND HEIGHTS,69600.0 | 13200.0 | 6200.0 | 6796.87 | 87900.0,
SEA AIRE APARTMENTS LLC,rico_evidence,rico_evidence_matrix,,,,
SMD INVESTMENTS LLC,llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,1654 IOWA ST UNIT C,GARDEN GROVE,21700.0,"Cottondale, AL"
STEWART INDUSTRIES LLC,high_ppp_amount; llc_or_corp; ppp_fraud_multiple_loans; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,3311 BOUNTY CIR,SEAL BEACH,1128327.5,"Battle Creek, MI; BATTLE CREEK, MI"
SUBURBAN PROPERTIES LLC,rico_evidence,rico_evidence_matrix,,,,
SUMMIT PROPERTIES LLC,llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,2501 FLORIDA ST,ORANGE,16340.0,"Guntersville, AL"
THE LE FAMILY LLC,high_ppp_amount; llc_or_corp; ppp_fraud_multiple_loans; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,16752 JEFFREY CIR,CORONA,366700.0,"Killeen, TX; KILLEEN, TX"
TRIUMVIRATE LLC,high_ppp_amount; llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,21951 BROOKHURST ST,FOUNTAIN VALLEY,852740.0,"Anchorage, AK"
WFS PROPERTIES LLC,llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,212 15TH ST,BREA,54417.0,"BREA, CA"
WILDCAT PROPERTIES LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,200 PACIFIC COAST HWY UNIT 345,FARMINGTON,4000.0,
YAHWEH IS ABEL IN THE OC LLC,llc_or_corp; suspicious_network_match,suspicious_hb_network,219 2ND ST,REDDING,,
YSA LLC,rico_evidence,rico_evidence_matrix,,,,
