llc_name,property_address,mail_city,last_sale_value,ppp_loan_count,ppp_total_amount,ppp_total_forgiven,ppp_names,loan_locations,loan_statuses
FIRST HIGHLAND LLC,8171 COBBLESTONE LN # 4,WESTMINSTER,0.0,1,205800.0,207040.44,FIRST HIGHLAND LLC,"Windermere, FL",Paid in Full
NEWPORT BEACH GOLF COURSE LLC,119-200 IRVINE BLVD,NEWPORT BEACH,,1,115400.0,116402.24,NEWPORT BEACH GOLF COURSE LLC,"NEWPORT BEACH, CA",Paid in Full
DEVPRI HOSPITALITY LLC,16220 PACIFIC COAST HWY,SUNSET BEACH,1700000.0,2,115000.0,116052.33,DEVPRI HOSPITALITY LLC,"SUNSET BEACH, CA; Sunset Beach, CA",Paid in Full
DEVPRI HOSPITALITY LLC,16561 PACIFIC COAST HWY,SUNSET BEACH,0.0,2,115000.0,116052.33,DEVPRI HOSPITALITY LLC,"SUNSET BEACH, CA; Sunset Beach, CA",Paid in Full
GOLDEN HILLS PROPERTIES LLC,3335 W COAST HWY,BEVERLY HILLS,,1,88324.4,88842.08,GOLDEN HILLS PROPERTIES LLC,"Los Angeles, CA",Paid in Full
A & D LLC,5821 VIEW CIR,FOUNTAIN VALLEY,0.0,1,55324.47,55607.24,A & D LLC,"Phoenix, AZ",Paid in Full
WFS PROPERTIES LLC,212 15TH ST,BREA,3850000.0,1,54417.0,54911.97,WFS PROPERTIES LLC,"BREA, CA",Paid in Full
RANCHO LA SIESTA LLC,18194 BUSHARD ST,FOUNTAIN VALLEY,0.0,1,45000.0,45366.25,RANCHO LA SIESTA LLC,"Fountain Valley, CA",Paid in Full
CROWN WEALTH PROPERTIES LLC,2900 BRISTOL ST # 1,COSTA MESA,0.0,1,43190.0,43676.33,CROWN WEALTH PROPERTIES LLC,"COSTA MESA, CA",Paid in Full
MERRIMAC PARTNERS LLC,20962 CABRILLO LN # 61,YORBA LINDA,1150000.0,1,41665.0,42106.21,MERRIMAC PARTNERS LLC,"YORBA LINDA, CA",Paid in Full
SAMPSON VENTURES LLC,17682 SAMPSON LN,HESPERIA,0.0,2,32690.0,32934.34,SAMPSON VENTURES LLC,"Mesa, AZ",Paid in Full
PARKSVILLE INVESTMENT LLC,7450 EDINGER AVE,LOS ANGELES,,1,29165.0,29650.02,PARKSVILLE INVESTMENT LLC,"LOS ANGELES, CA",Paid in Full
JEK INVESTMENTS LLC,1325 DELAWARE ST,COSTA MESA,0.0,1,26907.0,27221.78,JEK INVESTMENTS LLC,"Phoenix, AZ",Paid in Full
BONGOS SPORTFISHING LLC,829 HARBOR ISLAND DR,ROSSMOOR,,1,25250.0,25670.66,BONGOS SPORTFISHING LLC,"NEWPORT BEACH, CA",Paid in Full
DRT INVESTMENTS LLC,16862 CORAL CAY LN,NEWPORT BEACH,,1,24094.0,24246.82,DRT INVESTMENTS LLC,"Phoenix, AZ",Paid in Full
DRT INVESTMENTS LLC,19900 BEACH BLVD,NEWPORT BEACH,0.0,1,24094.0,24246.82,DRT INVESTMENTS LLC,"Phoenix, AZ",Paid in Full
SMD INVESTMENTS LLC,1654 IOWA ST UNIT C,GARDEN GROVE,510000.0,1,21700.0,21909.16,SMD INVESTMENTS LLC,"Cottondale, AL",Paid in Full
JBH LLC,711 W 17TH ST # 19,NORTH TUSTIN,0.0,1,20607.0,20816.46,JBH LLC,"PHOENIX, AZ",Paid in Full
SUMMIT PROPERTIES LLC,2501 FLORIDA ST,ORANGE,3100000.0,1,16340.0,16419.43,SUMMIT PROPERTIES LLC,"Guntersville, AL",Paid in Full
