MailAddress,llc_count,avg_sale_value,first_sale,last_sale,llc_names,apns,risk_level,cluster_notes
2112 CENTURY PARK LN UNIT 310,3,759500.0,04/06/2018,05/01/2017,STEIN FULLERTON LLC,939-570-57; 939-570-58; 939-570-59,MONITOR,
PO BOX 11576,3,941667.0,06/09/2021,11/14/2025,MARINO FAMILY LLC,107-771-06; 023-162-21; 024-146-03,MONITOR,USPS PO Box network
10900 WARNER AVE STE 120,3,1855000.0,09/20/2019,12/02/2022,NM 168 LLC | NM 169 LLC,155-151-08; 155-151-07; 167-301-06,MONITOR,
11620 WILSHIRE BLVD STE 1000,3,9759500.0,,,REXFORD INDUSTRIAL-7612 WOODWIND LLC,165-261-72; 165-261-74; 165-261-71,MONITOR,
2665 HARBOR BLVD,3,0.0,05/07/2024,10/02/2009,ONNYX INVESTMENTS 2 LLC,142-102-56; 142-102-19; 142-102-20,MONITOR,
2800 CLIFF DR,3,136667.0,02/16/2021,09/30/2014,AYRES PROPERTIES LLC,934-180-33; 937-351-02; 934-180-07,MONITOR,
300 E COAST HWY,3,,,,BAYSIDE MHP LLC | DE ANZA BAYSIDE VILLAGE LLC,892-210-47; 892-211-02; 892-211-32,MONITOR,
120 TUSTIN AVE STE C,3,0.0,,,IRVINE LLC | NOCM LLC,936-801-17; 936-801-18; 936-780-01,MONITOR,
20101 SW BIRCH ST STE 151,3,0.0,07/29/1997,10/28/2003,DRT INVESTMENTS LLC | DRT LLC,988-999-13; 178-653-37; 153-091-27,MONITOR,
2900 BRISTOL ST STE D107,3,349667.0,05/18/2005,05/18/2005,COMPETENT LLC,939-570-18; 939-570-20; 939-570-19,MONITOR,
17220 NEWHOPE ST STE 224,3,5000.0,09/27/2022,09/27/2022,"NOF 2024 LLC | TRIPLEX, LLC",938-780-04; 938-780-05; 938-780-46,MONITOR,
1200 NEWPORT CENTER DR STE 290,3,10500000.0,08/24/2021,08/24/2021,OCEAN PACIFIC PARTNERS LLC,024-261-06; 024-261-08; 024-261-07,MONITOR,Newport Center financial cluster
805 N HARBOR BLVD,3,0.0,02/25/2004,06/22/2021,DNJ RESIDENTIAL PROPERTIES LLC,146-013-15; 146-013-04; 146-013-08,MONITOR,
875 CORCORAN CT,3,0.0,08/15/2005,08/15/2005,ARJUN ENTRPRS LLC | ARJUN PROPERTIES LLC,023-164-09; 024-035-01; 024-034-05,MONITOR,
4340 VON KARMAN AVE STE 101,3,2370000.0,05/03/2021,05/03/2021,DYSO 3 LLC,934-057-07; 934-057-08; 934-057-09,MONITOR,
8609 VINEYARD RIDGE RD NE,3,0.0,07/23/2015,10/06/2015,119 EAST BALBOA BLVD LLC | 130 40TH STREET LLC,178-601-35; 937-151-78; 932-801-49,MONITOR,
8362 WALKER ST APT 34,3,0.0,12/06/2016,12/07/2016,GIANT SUSHI ROBOT LLC,167-483-07; 167-483-06; 167-483-05,MONITOR,
3030 PULLMAN ST,3,0.0,01/08/1996,07/10/2006,CCK PPTY HOLDINGS LLC,157-021-35; 937-155-29; 025-071-29,MONITOR,
