BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,InitialApprovalAmount,LoanStatus,DateApproved,LoanNumber,NAICSCode,ServicingLenderName,OriginatingLender
STONEBRIDGE CHRISTIAN CHURCH,15801 Butler Ave,Omaha,NE,185700.0,Paid in Full,04/27/2020,4155617210,813110,Banc of California,Banc of California
PLYMOUTH CONGREGATIONAL CHURCH OF WHITTIER,12058 Beverly Blvd,Whittier,CA,185655.0,Paid in Full,02/17/2021,9434418407,813110,Banc of California,Banc of California
WILSHIRE HOLMBY HOMEOWNERS ASSOC. INC.,10433 WILSHIRE BLVD.,LOS ANGELES,CA,183250.0,Paid in Full,04/28/2020,9089857205,813990,Banc of California,Banc of California
"FIRST BAPTIST CHURCH, TUSTIN",12881 NEWPORT AVE,TUSTIN,CA,173845.2,Paid in Full,04/29/2020,3968817301,813110,Banc of California,Banc of California
FIRST BAPTIST CHURCH TUSTIN,12881 Newport Ave,Tustin,CA,172777.0,Paid in Full,01/26/2021,6183208306,813110,Banc of California,Banc of California
IRVINE UNITED CONGREGATIONAL CHURCH,4915 Alton Pkwy,Irvine,CA,171975.0,Paid in Full,01/26/2021,6098518300,813110,Banc of California,Banc of California
MUSLIM PUBLIC AFFAIRS COUNCIL FOUNDATION,3010 WILSHIRE BLVD,LOS ANGELES,CA,166080.0,Paid in Full,04/28/2020,8573197205,813110,Banc of California,Banc of California
MUSLIM PUBLIC AFFAIRS COUNCIL FOUNDATION,3010 Wilshire Blvd,Los Angeles,CA,166080.0,Paid in Full,02/02/2021,1653638407,813110,Banc of California,Banc of California
MALIBU FOUNDATION FOR YOUTH AND FAMILIES,30215 Morning View Dr,Malibu,CA,163991.54,Paid in Full,01/22/2021,4039958304,624110,Banc of California,Banc of California
HILLEL AT UCLA,574 HILGARD AVE,LOS ANGELES,CA,162727.0,Paid in Full,04/28/2020,8709547203,813990,Banc of California,Banc of California
CORPUS CHRISTI CHURCH,887 TOYOPA DRIVE,PACIFIC PALISADES,CA,161950.0,Paid in Full,04/27/2020,5040437209,611110,Banc of California,Banc of California
CORPUS CHRISTI CHURCH,887 Toyopa Dr,Pacific Palisades,CA,161950.0,Paid in Full,02/18/2021,1327458504,611110,Banc of California,Banc of California
"SAINT AUGUSTINE ACADEMY, INC.",130 S WELLS RD,VENTURA,CA,160000.0,Paid in Full,04/28/2020,8577407204,611110,Banc of California,Banc of California
JOSHUA TREE NATIONAL PARK ASSOCIATION,74485 NATIONAL PARK DR,TWENTYNINE PALMS,CA,159137.5,Paid in Full,04/27/2020,4735507208,712190,Banc of California,Banc of California
JOSHUA TREE NATIONAL PARK ASSOCIATION,74485 National Park Dr,Twentynine Palms,CA,159137.0,Paid in Full,02/24/2021,3721668505,712190,Banc of California,Banc of California
WESTERN EAGLE FOUNDATION,40940 COUNTY CENTER DRIVE,TEMECULA,CA,150000.0,Paid in Full,04/27/2020,3825347207,624210,Banc of California,Banc of California
